,Slot,Type,Grade,Prime,DisplayStat,Stat,StatT,MinLvl,MaxLvl,Stat value,Duration,Chance
46,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,81,90,45,0.0,0.0
47,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,91,100,50,0.0,0.0
48,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,101,110,55,0.0,0.0
49,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,111,300,60,0.0,0.0
50,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,10,5,0.0,0.0
51,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,11,20,10,0.0,0.0
52,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,21,30,15,0.0,0.0
53,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,31,40,20,0.0,0.0
54,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,41,50,25,0.0,0.0
55,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,51,60,30,0.0,0.0
56,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,61,70,35,0.0,0.0
57,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,71,80,40,0.0,0.0
58,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,81,90,45,0.0,0.0
59,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,91,100,50,0.0,0.0
60,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,101,110,55,0.0,0.0
61,Hat,Bonus,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,111,300,60,0.0,0.0
62,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,10,5,0.0,0.0
63,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,11,20,10,0.0,0.0
64,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,21,30,15,0.0,0.0
65,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,31,40,20,0.0,0.0
66,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,41,50,25,0.0,0.0
67,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,51,60,30,0.0,0.0
68,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,61,70,35,0.0,0.0
69,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,71,80,40,0.0,0.0
70,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,81,90,45,0.0,0.0
71,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,91,100,50,0.0,0.0
72,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,101,110,55,0.0,0.0
73,Hat,Bonus,Rare,Non prime,DEF Increase,DEF Increase,Flat,111,300,60,0.0,0.0
74,Hat,Bonus,Rare,Prime,STR Increase,STR Increase,Flat,0,20,2,0.0,0.0
75,Hat,Bonus,Rare,Prime,STR Increase,STR Increase,Flat,21,50,4,0.0,0.0
76,Hat,Bonus,Rare,Prime,STR Increase,STR Increase,Flat,51,70,6,0.0,0.0
77,Hat,Bonus,Rare,Prime,STR Increase,STR Increase,Flat,71,90,8,0.0,0.0
78,Hat,Bonus,Rare,Prime,STR Increase,STR Increase,Flat,91,300,10,0.0,0.0
79,Hat,Bonus,Rare,Prime,DEX Increase,DEX Increase,Flat,0,20,2,0.0,0.0
80,Hat,Bonus,Rare,Prime,DEX Increase,DEX Increase,Flat,21,50,4,0.0,0.0
81,Hat,Bonus,Rare,Prime,DEX Increase,DEX Increase,Flat,51,70,6,0.0,0.0
82,Hat,Bonus,Rare,Prime,DEX Increase,DEX Increase,Flat,71,90,8,0.0,0.0
83,Hat,Bonus,Rare,Prime,DEX Increase,DEX Increase,Flat,91,300,10,0.0,0.0
84,Hat,Bonus,Rare,Prime,INT Increase,INT Increase,Flat,0,20,2,0.0,0.0
85,Hat,Bonus,Rare,Prime,INT Increase,INT Increase,Flat,21,50,4,0.0,0.0
86,Hat,Bonus,Rare,Prime,INT Increase,INT Increase,Flat,51,70,6,0.0,0.0
87,Hat,Bonus,Rare,Prime,INT Increase,INT Increase,Flat,71,90,8,0.0,0.0
88,Hat,Bonus,Rare,Prime,INT Increase,INT Increase,Flat,91,300,10,0.0,0.0
89,Hat,Bonus,Rare,Prime,LUK Increase,LUK Increase,Flat,0,20,2,0.0,0.0
90,Hat,Bonus,Rare,Prime,LUK Increase,LUK Increase,Flat,21,50,4,0.0,0.0
91,Hat,Bonus,Rare,Prime,LUK Increase,LUK Increase,Flat,51,70,6,0.0,0.0
92,Hat,Bonus,Rare,Prime,LUK Increase,LUK Increase,Flat,71,90,8,0.0,0.0
93,Hat,Bonus,Rare,Prime,LUK Increase,LUK Increase,Flat,91,300,10,0.0,0.0
94,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,0,20,1,0.0,0.0
95,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,21,40,2,0.0,0.0
96,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,41,60,4,0.0,0.0
97,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,61,80,6,0.0,0.0
98,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,81,90,8,0.0,0.0
99,Hat,Bonus,Rare,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,91,300,10,0.0,0.0
100,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,0,20,1,0.0,0.0
101,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,21,40,2,0.0,0.0
102,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,41,60,4,0.0,0.0
103,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,61,80,6,0.0,0.0
104,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,81,90,8,0.0,0.0
105,Hat,Bonus,Rare,Prime,Magic ATT Increase,Magic ATT Increase,Flat,91,300,10,0.0,0.0
106,Hat,Bonus,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,0,20,10,0.0,0.0
107,Hat,Bonus,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,21,50,15,0.0,0.0
108,Hat,Bonus,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,51,90,50,0.0,0.0
109,Hat,Bonus,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,91,300,100,0.0,0.0
110,Hat,Bonus,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,0,20,10,0.0,0.0
111,Hat,Bonus,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,21,50,15,0.0,0.0
112,Hat,Bonus,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,51,90,50,0.0,0.0
113,Hat,Bonus,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,91,300,100,0.0,0.0
114,Hat,Bonus,Rare,Prime,DEF Increase,DEF Increase,Flat,0,20,10,0.0,0.0
115,Hat,Bonus,Rare,Prime,DEF Increase,DEF Increase,Flat,21,50,15,0.0,0.0
116,Hat,Bonus,Rare,Prime,DEF Increase,DEF Increase,Flat,51,90,50,0.0,0.0
117,Hat,Bonus,Rare,Prime,DEF Increase,DEF Increase,Flat,91,300,100,0.0,0.0
118,Hat,Bonus,Rare,Prime,Speed Increase,Speed Increase,Flat,0,20,2,0.0,0.0
119,Hat,Bonus,Rare,Prime,Speed Increase,Speed Increase,Flat,21,50,3,0.0,0.0
120,Hat,Bonus,Rare,Prime,Speed Increase,Speed Increase,Flat,51,80,4,0.0,0.0
121,Hat,Bonus,Rare,Prime,Speed Increase,Speed Increase,Flat,81,110,5,0.0,0.0
122,Hat,Bonus,Rare,Prime,Speed Increase,Speed Increase,Flat,111,300,6,0.0,0.0
123,Hat,Bonus,Rare,Prime,Jump Increase,Jump Increase,Flat,0,20,2,0.0,0.0
124,Hat,Bonus,Rare,Prime,Jump Increase,Jump Increase,Flat,21,50,3,0.0,0.0
125,Hat,Bonus,Rare,Prime,Jump Increase,Jump Increase,Flat,51,80,4,0.0,0.0
126,Hat,Bonus,Rare,Prime,Jump Increase,Jump Increase,Flat,81,110,5,0.0,0.0
127,Hat,Bonus,Rare,Prime,Jump Increase,Jump Increase,Flat,111,300,6,0.0,0.0
128,Hat,Bonus,Rare,Prime,STR% Increase,STR% Increase,Perc,0,90,1,0.0,0.0
129,Hat,Bonus,Rare,Prime,STR% Increase,STR% Increase,Perc,91,300,2,0.0,0.0
130,Hat,Bonus,Rare,Prime,DEX% Increase,DEX% Increase,Perc,0,90,1,0.0,0.0
131,Hat,Bonus,Rare,Prime,DEX% Increase,DEX% Increase,Perc,91,300,2,0.0,0.0
132,Hat,Bonus,Rare,Prime,INT% Increase,INT% Increase,Perc,0,90,1,0.0,0.0
133,Hat,Bonus,Rare,Prime,INT% Increase,INT% Increase,Perc,91,300,2,0.0,0.0
134,Hat,Bonus,Rare,Prime,LUK% Increase,LUK% Increase,Perc,0,90,1,0.0,0.0
135,Hat,Bonus,Rare,Prime,LUK% Increase,LUK% Increase,Perc,91,300,2,0.0,0.0
136,Hat,Bonus,Rare,Prime,DEF% Increase,DEF% Increase,Perc,0,90,1,0.0,0.0
137,Hat,Bonus,Rare,Prime,DEF% Increase,DEF% Increase,Perc,91,300,2,0.0,0.0
138,Hat,Bonus,Rare,Prime,MaxHP% Increase,MaxHP% Increase,Perc,0,90,1,0.0,0.0
139,Hat,Bonus,Rare,Prime,MaxHP% Increase,MaxHP% Increase,Perc,91,300,2,0.0,0.0
140,Hat,Bonus,Rare,Prime,MaxMP% Increase,MaxMP% Increase,Perc,0,90,1,0.0,0.0
141,Hat,Bonus,Rare,Prime,MaxMP% Increase,MaxMP% Increase,Perc,91,300,2,0.0,0.0
142,Hat,Bonus,Rare,Prime,All Stats Increase,All Stats Increase,Flat,0,50,1,0.0,0.0
143,Hat,Bonus,Rare,Prime,All Stats Increase,All Stats Increase,Flat,51,90,2,0.0,0.0
144,Hat,Bonus,Rare,Prime,All Stats Increase,All Stats Increase,Flat,91,300,3,0.0,0.0
145,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,0,20,4,0.0,0.0
146,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,21,40,6,0.0,0.0
147,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,41,50,8,0.0,0.0
148,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,51,70,10,0.0,0.0
149,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,71,90,12,0.0,0.0
150,Hat,Bonus,Epic,Prime,STR Increase,STR Increase,Flat,91,300,14,0.0,0.0
151,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,0,20,4,0.0,0.0
152,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,21,40,6,0.0,0.0
153,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,41,50,8,0.0,0.0
154,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,51,70,10,0.0,0.0
155,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,71,90,12,0.0,0.0
156,Hat,Bonus,Epic,Prime,DEX Increase,DEX Increase,Flat,91,300,14,0.0,0.0
157,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,0,20,4,0.0,0.0
158,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,21,40,6,0.0,0.0
159,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,41,50,8,0.0,0.0
160,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,51,70,10,0.0,0.0
161,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,71,90,12,0.0,0.0
162,Hat,Bonus,Epic,Prime,INT Increase,INT Increase,Flat,91,300,14,0.0,0.0
163,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,0,20,4,0.0,0.0
164,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,21,40,6,0.0,0.0
165,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,41,50,8,0.0,0.0
166,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,51,70,10,0.0,0.0
167,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,71,90,12,0.0,0.0
168,Hat,Bonus,Epic,Prime,LUK Increase,LUK Increase,Flat,91,300,14,0.0,0.0
169,Hat,Bonus,Epic,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,0,20,4,0.0,0.0
170,Hat,Bonus,Epic,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,21,50,6,0.0,0.0
171,Hat,Bonus,Epic,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,51,90,8,0.0,0.0
172,Hat,Bonus,Epic,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,91,300,11,0.0,0.0
173,Hat,Bonus,Epic,Prime,Magic ATT Increase,Magic ATT Increase,Flat,0,20,4,0.0,0.0
174,Hat,Bonus,Epic,Prime,Magic ATT Increase,Magic ATT Increase,Flat,21,50,6,0.0,0.0
175,Hat,Bonus,Epic,Prime,Magic ATT Increase,Magic ATT Increase,Flat,51,90,8,0.0,0.0
176,Hat,Bonus,Epic,Prime,Magic ATT Increase,Magic ATT Increase,Flat,91,300,11,0.0,0.0
177,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,0,10,15,0.0,0.0
178,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,11,20,30,0.0,0.0
179,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,21,30,45,0.0,0.0
180,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,31,40,60,0.0,0.0
181,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,41,50,75,0.0,0.0
182,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,51,60,90,0.0,0.0
183,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,61,70,105,0.0,0.0
184,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,71,80,120,0.0,0.0
185,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,81,90,135,0.0,0.0
186,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,91,100,150,0.0,0.0
187,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,101,110,165,0.0,0.0
188,Hat,Bonus,Epic,Prime,MaxHP Increase,MaxHP Increase,Flat,111,300,180,0.0,0.0
189,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,0,10,15,0.0,0.0
190,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,11,20,30,0.0,0.0
191,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,21,30,45,0.0,0.0
192,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,31,40,60,0.0,0.0
193,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,41,50,75,0.0,0.0
194,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,51,60,90,0.0,0.0
195,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,61,70,105,0.0,0.0
196,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,71,80,120,0.0,0.0
197,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,81,90,135,0.0,0.0
198,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,91,100,150,0.0,0.0
199,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,101,110,165,0.0,0.0
200,Hat,Bonus,Epic,Prime,MaxMP Increase,MaxMP Increase,Flat,111,300,180,0.0,0.0
201,Hat,Bonus,Epic,Prime,DEF Increase,DEF Increase,Flat,0,20,15,0.0,0.0
202,Hat,Bonus,Epic,Prime,DEF Increase,DEF Increase,Flat,21,50,20,0.0,0.0
203,Hat,Bonus,Epic,Prime,DEF Increase,DEF Increase,Flat,51,90,60,0.0,0.0
204,Hat,Bonus,Epic,Prime,DEF Increase,DEF Increase,Flat,91,300,120,0.0,0.0
205,Hat,Bonus,Epic,Prime,Speed Increase,Speed Increase,Flat,0,30,4,0.0,0.0
206,Hat,Bonus,Epic,Prime,Speed Increase,Speed Increase,Flat,31,110,6,0.0,0.0
207,Hat,Bonus,Epic,Prime,Speed Increase,Speed Increase,Flat,111,300,8,0.0,0.0
208,Hat,Bonus,Epic,Prime,Jump Increase,Jump Increase,Flat,0,30,4,0.0,0.0
209,Hat,Bonus,Epic,Prime,Jump Increase,Jump Increase,Flat,31,110,6,0.0,0.0
210,Hat,Bonus,Epic,Prime,Jump Increase,Jump Increase,Flat,111,300,8,0.0,0.0
211,Hat,Bonus,Epic,Prime,STR% Increase,STR% Increase,Perc,0,20,1,0.0,0.0
212,Hat,Bonus,Epic,Prime,STR% Increase,STR% Increase,Perc,21,50,2,0.0,0.0
213,Hat,Bonus,Epic,Prime,STR% Increase,STR% Increase,Perc,51,90,3,0.0,0.0
214,Hat,Bonus,Epic,Prime,STR% Increase,STR% Increase,Perc,91,300,4,0.0,0.0
215,Hat,Bonus,Epic,Prime,DEX% Increase,DEX% Increase,Perc,0,20,1,0.0,0.0
216,Hat,Bonus,Epic,Prime,DEX% Increase,DEX% Increase,Perc,21,50,2,0.0,0.0
217,Hat,Bonus,Epic,Prime,DEX% Increase,DEX% Increase,Perc,51,90,3,0.0,0.0
218,Hat,Bonus,Epic,Prime,DEX% Increase,DEX% Increase,Perc,91,300,4,0.0,0.0
219,Hat,Bonus,Epic,Prime,INT% Increase,INT% Increase,Perc,0,20,1,0.0,0.0
220,Hat,Bonus,Epic,Prime,INT% Increase,INT% Increase,Perc,21,50,2,0.0,0.0
221,Hat,Bonus,Epic,Prime,INT% Increase,INT% Increase,Perc,51,90,3,0.0,0.0
222,Hat,Bonus,Epic,Prime,INT% Increase,INT% Increase,Perc,91,300,4,0.0,0.0
223,Hat,Bonus,Epic,Prime,LUK% Increase,LUK% Increase,Perc,0,20,1,0.0,0.0
224,Hat,Bonus,Epic,Prime,LUK% Increase,LUK% Increase,Perc,21,50,2,0.0,0.0
225,Hat,Bonus,Epic,Prime,LUK% Increase,LUK% Increase,Perc,51,90,3,0.0,0.0
226,Hat,Bonus,Epic,Prime,LUK% Increase,LUK% Increase,Perc,91,300,4,0.0,0.0
227,Hat,Bonus,Epic,Prime,MaxHP% Increase,MaxHP% Increase,Perc,0,20,1,0.0,0.0
228,Hat,Bonus,Epic,Prime,MaxHP% Increase,MaxHP% Increase,Perc,21,50,2,0.0,0.0
229,Hat,Bonus,Epic,Prime,MaxHP% Increase,MaxHP% Increase,Perc,51,90,3,0.0,0.0
230,Hat,Bonus,Epic,Prime,MaxHP% Increase,MaxHP% Increase,Perc,91,300,5,0.0,0.0
231,Hat,Bonus,Epic,Prime,MaxMP% Increase,MaxMP% Increase,Perc,0,20,1,0.0,0.0
232,Hat,Bonus,Epic,Prime,MaxMP% Increase,MaxMP% Increase,Perc,21,50,2,0.0,0.0
233,Hat,Bonus,Epic,Prime,MaxMP% Increase,MaxMP% Increase,Perc,51,90,3,0.0,0.0
234,Hat,Bonus,Epic,Prime,MaxMP% Increase,MaxMP% Increase,Perc,91,300,5,0.0,0.0
235,Hat,Bonus,Epic,Prime,DEF% Increase,DEF% Increase,Perc,0,30,1,0.0,0.0
236,Hat,Bonus,Epic,Prime,DEF% Increase,DEF% Increase,Perc,31,70,2,0.0,0.0
237,Hat,Bonus,Epic,Prime,DEF% Increase,DEF% Increase,Perc,71,300,4,0.0,0.0
238,Hat,Bonus,Epic,Prime,All Stats% Increase,All Stats% Increase,Perc,0,90,1,0.0,0.0
239,Hat,Bonus,Epic,Prime,All Stats% Increase,All Stats% Increase,Perc,91,300,2,0.0,0.0
240,Hat,Bonus,Unique,Prime,STR Increase,STR Increase,Flat,0,20,8,0.0,0.0
241,Hat,Bonus,Unique,Prime,STR Increase,STR Increase,Flat,21,50,10,0.0,0.0
242,Hat,Bonus,Unique,Prime,STR Increase,STR Increase,Flat,51,70,12,0.0,0.0
243,Hat,Bonus,Unique,Prime,STR Increase,STR Increase,Flat,71,90,14,0.0,0.0
244,Hat,Bonus,Unique,Prime,STR Increase,STR Increase,Flat,91,300,16,0.0,0.0
245,Hat,Bonus,Unique,Prime,DEX Increase,DEX Increase,Flat,0,20,8,0.0,0.0
246,Hat,Bonus,Unique,Prime,DEX Increase,DEX Increase,Flat,21,50,10,0.0,0.0
247,Hat,Bonus,Unique,Prime,DEX Increase,DEX Increase,Flat,51,70,12,0.0,0.0
248,Hat,Bonus,Unique,Prime,DEX Increase,DEX Increase,Flat,71,90,14,0.0,0.0
249,Hat,Bonus,Unique,Prime,DEX Increase,DEX Increase,Flat,91,300,16,0.0,0.0
250,Hat,Bonus,Unique,Prime,INT Increase,INT Increase,Flat,0,20,8,0.0,0.0
251,Hat,Bonus,Unique,Prime,INT Increase,INT Increase,Flat,21,50,10,0.0,0.0
252,Hat,Bonus,Unique,Prime,INT Increase,INT Increase,Flat,51,70,12,0.0,0.0
253,Hat,Bonus,Unique,Prime,INT Increase,INT Increase,Flat,71,90,14,0.0,0.0
254,Hat,Bonus,Unique,Prime,INT Increase,INT Increase,Flat,91,300,16,0.0,0.0
255,Hat,Bonus,Unique,Prime,LUK Increase,LUK Increase,Flat,0,20,8,0.0,0.0
256,Hat,Bonus,Unique,Prime,LUK Increase,LUK Increase,Flat,21,50,10,0.0,0.0
257,Hat,Bonus,Unique,Prime,LUK Increase,LUK Increase,Flat,51,70,12,0.0,0.0
258,Hat,Bonus,Unique,Prime,LUK Increase,LUK Increase,Flat,71,90,14,0.0,0.0
259,Hat,Bonus,Unique,Prime,LUK Increase,LUK Increase,Flat,91,300,16,0.0,0.0
260,Hat,Bonus,Unique,Prime,Weapon ATT Increase,Weapon ATT Increase,Flat,0,20,6,0.0,0.0
