,EquipSet,ClassType,Set At,STR,DEX,INT,LUK,All Stats,Max HP,Max MP,Perc Max HP,Perc Max MP,Defense,Weapon Attack,Magic Attack,Ignored Enemy Defense,Boss Damage,Critical Damage,Damage,All Skills,Damage Against Normal Monsters,Abnormal Status Resistance
46,8th,Warrior,4,9,0,0,0,0,0,0,9,9,140,9,0,0,0,0,0,0,+6,0
47,8th,Warrior,5,9,0,0,0,15,0,0,9,9,390,9,0,10,0,0,0,0,+12,0
48,8th,Warrior,6,9,0,0,0,15,0,0,9,9,390,19,10,19,0,0,0,0,+20,0
49,Pitched Boss,Any,2,0,0,0,0,10,250,0,0,0,0,10,10,0,10,0,0,0,0,0
50,Pitched Boss,Any,3,0,0,0,0,20,500,0,0,0,250,20,20,10,10,0,0,0,0,0
51,Pitched Boss,Any,4,0,0,0,0,35,875,0,0,0,250,35,35,10,10,5,0,0,0,0
52,Pitched Boss,Any,5,0,0,0,0,50,1250,0,0,0,250,50,50,10,20,5,0,0,0,0
53,Pitched Boss,Any,6,0,0,0,0,65,1625,0,0,0,250,65,65,19,20,5,0,0,0,0
54,Pitched Boss,Any,7,0,0,0,0,80,2000,0,0,0,250,80,80,19,20,10,0,0,0,0
55,Pitched Boss,Any,8,0,0,0,0,95,2375,0,0,0,250,95,95,19,30,10,0,0,0,0
56,Pitched Boss,Any,9,0,0,0,0,110,2750,0,0,0,250,110,110,19,30,15,0,0,0,0
57,Dawn Boss,Any,2,0,0,0,0,10,250,0,0,0,0,10,10,0,10,0,0,0,0,0
58,Dawn Boss,Any,3,0,0,0,0,20,500,0,0,0,0,20,20,0,10,0,0,0,0,0
59,Dawn Boss,Any,4,0,0,0,0,30,750,0,0,0,100,30,30,10,10,0,0,0,0,0
60,Boss Accessory,Any,3,0,0,0,0,10,0,0,5,5,60,5,5,0,0,0,0,0,0,0
61,Boss Accessory,Any,5,0,0,0,0,20,0,0,10,10,120,10,10,0,0,0,0,0,0,0
62,Boss Accessory,Any,7,0,0,0,0,30,0,0,10,10,200,20,20,10,0,0,0,0,0,0
63,Boss Accessory,Any,9,0,0,0,0,45,0,0,10,10,300,30,30,10,10,0,0,0,0,0
64,Eternal,Pirate,2,0,0,0,0,0,2500,2500,0,0,0,40,40,0,10,0,0,0,0,0
65,Eternal,Pirate,3,0,0,0,0,50,2500,2500,0,0,600,80,80,0,20,0,0,0,0,0
66,Eternal,Pirate,4,0,0,0,0,50,2500,2500,15,15,600,120,120,0,30,0,0,0,0,0
67,Sengoku Treasure,Any,2,0,0,0,0,2,0,0,0,0,20,3,3,0,0,0,3,0,0,0
68,Sengoku Treasure,Any,3,0,0,0,0,10,0,0,0,0,100,15,15,0,0,0,9,0,0,0
69,AbsoLab,Pirate,2,0,0,0,0,0,1500,1500,0,0,0,20,20,0,10,0,0,0,0,0
70,AbsoLab,Pirate,3,0,0,0,0,30,1500,1500,0,0,0,40,40,0,20,0,0,0,0,0
71,AbsoLab,Pirate,4,0,0,0,0,30,1500,1500,0,0,200,65,65,10,20,0,0,0,0,0
72,AbsoLab,Pirate,5,0,0,0,0,30,1500,1500,0,0,200,95,95,10,30,0,0,0,0,0
73,AbsoLab,Pirate,6,0,0,0,0,30,1500,1500,20,20,200,115,115,10,30,0,0,0,0,0
74,AbsoLab,Pirate,7,0,0,0,0,30,1500,1500,20,20,200,135,135,19,30,0,0,0,0,0
75,Pure Gold Parts,Pirate,3,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
76,Pure Gold Parts,Pirate,5,0,0,0,0,5,0,0,0,0,300,3,0,0,0,0,0,0,0,0
77,Gold Parts,Pirate,3,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
78,Gold Parts,Pirate,5,0,0,0,0,4,0,0,0,0,150,2,0,0,0,0,0,0,0,0
79,Arcane Umbra,Pirate,2,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
80,Arcane Umbra,Pirate,3,0,0,0,0,0,0,0,0,0,400,60,60,10,10,0,0,0,0,0
81,Arcane Umbra,Pirate,4,0,0,0,0,50,0,0,0,0,400,95,95,10,20,0,0,0,0,0
82,Arcane Umbra,Pirate,5,0,0,0,0,50,2000,2000,0,0,200,135,135,10,30,0,0,0,0,0
83,Arcane Umbra,Pirate,6,0,0,0,0,50,2000,2000,30,30,400,165,165,10,30,0,0,0,0,0
84,Arcane Umbra,Pirate,7,0,0,0,0,50,2000,2000,30,30,400,195,195,19,30,0,0,0,0,0
85,Mystic,Any,3,0,0,0,0,7,0,0,0,0,0,6,6,0,0,0,0,0,0,0
86,Mystic,Any,4,0,0,0,0,14,0,0,0,0,0,12,12,0,0,0,0,0,0,0
87,Mystic,Any,5,0,0,0,0,21,0,0,0,0,0,18,18,0,0,0,0,0,0,0
88,Root Abyss,Pirate,2,20,20,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
89,Root Abyss,Pirate,3,20,20,0,0,0,1000,1000,10,10,0,50,0,0,0,0,0,0,0,0
90,Root Abyss,Pirate,4,20,20,0,0,0,1000,1000,10,10,0,50,0,0,30,0,0,0,0,0
91,Shark Tooth,Pirate,2,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
92,Shark Tooth,Pirate,3,0,0,0,0,0,0,0,15,15,300,0,0,0,0,0,0,0,0,0
93,Shark Tooth,Pirate,4,0,0,0,0,0,0,0,15,15,300,15,0,0,0,0,0,0,0,10
94,Shark Tooth,Pirate,5,0,0,0,0,20,0,0,15,15,300,15,0,0,0,0,0,2 Levels,0,10
95,Shark Tooth,Pirate,6,0,0,0,0,20,0,0,15,15,300,45,0,0,30,0,0,2 Levels,0,10
96,Shark Tooth,Pirate,7,0,0,0,0,20,0,0,30,30,300,55,0,0,30,0,0,2 Levels,0,10
97,8th,Pirate,2,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
98,8th,Pirate,3,0,0,0,0,0,0,0,9,9,140,0,0,0,0,0,0,0,+2,0
99,8th,Pirate,4,9,9,0,0,0,0,0,9,9,140,9,0,0,0,0,0,0,+6,0
100,8th,Pirate,5,9,9,0,0,15,0,0,9,9,390,9,0,10,0,0,0,0,+12,0
101,8th,Pirate,6,9,9,0,0,15,0,0,9,9,390,19,10,19,0,0,0,0,+20,0
102,Eternal,Thief,2,0,0,0,0,0,2500,2500,0,0,0,40,40,0,10,0,0,0,0,0
103,Eternal,Thief,3,0,0,0,0,50,2500,2500,0,0,600,80,80,0,20,0,0,0,0,0
104,Eternal,Thief,4,0,0,0,0,50,2500,2500,15,15,600,120,120,0,30,0,0,0,0,0
105,Arcane Umbra,Thief,2,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
106,Arcane Umbra,Thief,3,0,0,0,0,0,0,0,0,0,400,60,60,10,10,0,0,0,0,0
107,Arcane Umbra,Thief,4,0,0,0,0,50,0,0,0,0,400,95,95,10,20,0,0,0,0,0
108,Arcane Umbra,Thief,5,0,0,0,0,50,2000,2000,0,0,200,135,135,10,30,0,0,0,0,0
109,Arcane Umbra,Thief,6,0,0,0,0,50,2000,2000,30,30,400,165,165,10,30,0,0,0,0,0
110,Arcane Umbra,Thief,7,0,0,0,0,50,2000,2000,30,30,400,195,195,19,30,0,0,0,0,0
111,AbsoLab,Thief,2,0,0,0,0,0,1500,1500,0,0,0,20,20,0,10,0,0,0,0,0
112,AbsoLab,Thief,3,0,0,0,0,30,1500,1500,0,0,0,40,40,0,20,0,0,0,0,0
113,AbsoLab,Thief,4,0,0,0,0,30,1500,1500,0,0,200,65,65,10,20,0,0,0,0,0
114,AbsoLab,Thief,5,0,0,0,0,30,1500,1500,0,0,200,95,95,10,30,0,0,0,0,0
115,AbsoLab,Thief,6,0,0,0,0,30,1500,1500,20,20,200,115,115,10,30,0,0,0,0,0
116,AbsoLab,Thief,7,0,0,0,0,30,1500,1500,20,20,200,135,135,19,30,0,0,0,0,0
117,Root Abyss,Thief,2,0,20,0,20,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
118,Root Abyss,Thief,3,0,20,0,20,0,1000,1000,10,10,0,50,0,0,0,0,0,0,0,0
119,Root Abyss,Thief,4,0,20,0,20,0,1000,1000,10,10,0,50,0,0,30,0,0,0,0,0
120,8th,Thief,2,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
121,8th,Thief,3,0,0,0,0,0,0,0,9,9,140,0,0,0,0,0,0,0,+2,0
122,8th,Thief,4,0,0,0,9,0,0,0,9,9,130,9,0,0,0,0,0,0,+6,0
123,8th,Thief,5,0,0,0,9,15,0,0,9,9,390,9,0,10,0,0,0,0,+12,0
124,8th,Thief,6,0,0,0,9,15,0,0,9,9,390,19,10,19,0,0,0,0,+20,0
125,Raven Horn,Thief,2,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
126,Raven Horn,Thief,3,0,0,0,0,0,0,0,15,15,300,0,0,0,0,0,0,0,0,0
127,Raven Horn,Thief,4,0,0,0,0,0,0,0,15,15,300,15,0,0,0,0,0,0,0,10
128,Raven Horn,Thief,5,0,0,0,0,20,0,0,15,15,300,15,0,0,0,0,0,2 Levels,0,10
129,Raven Horn,Thief,6,0,0,0,0,20,0,0,15,15,300,45,0,0,30,0,0,2 Levels,0,10
130,Raven Horn,Thief,7,0,0,0,0,20,0,0,30,30,300,55,0,0,30,0,0,2 Levels,0,10
131,Arcane Umbra,Bowman,2,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
132,Arcane Umbra,Bowman,3,0,0,0,0,0,0,0,0,0,400,60,60,10,10,0,0,0,0,0
133,Arcane Umbra,Bowman,4,0,0,0,0,50,0,0,0,0,400,95,95,10,20,0,0,0,0,0
134,Arcane Umbra,Bowman,5,0,0,0,0,50,2000,2000,0,0,200,135,135,10,30,0,0,0,0,0
135,Arcane Umbra,Bowman,6,0,0,0,0,50,2000,2000,30,30,400,165,165,10,30,0,0,0,0,0
136,Arcane Umbra,Bowman,7,0,0,0,0,50,2000,2000,30,30,400,195,195,19,30,0,0,0,0,0
137,Eternal,Bowman,2,0,0,0,0,0,2500,2500,0,0,0,40,40,0,10,0,0,0,0,0
138,Eternal,Bowman,3,0,0,0,0,50,2500,2500,0,0,600,80,80,0,20,0,0,0,0,0
139,Eternal,Bowman,4,0,0,0,0,50,2500,2500,15,15,600,120,120,0,30,0,0,0,0,0
140,8th,Bowman,2,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
141,8th,Bowman,3,0,0,0,0,0,0,0,9,9,140,0,0,0,0,0,0,0,+2,0
142,8th,Bowman,4,0,9,0,0,0,0,0,9,9,140,9,0,0,0,0,0,0,+6,0
143,8th,Bowman,5,0,9,0,0,15,0,0,9,9,390,9,0,10,0,0,0,0,+12,0
144,8th,Bowman,6,0,9,0,0,15,0,0,9,9,390,19,10,19,0,0,0,0,+20,0
145,Arcane Umbra,Magician,2,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
146,Arcane Umbra,Magician,3,0,0,0,0,0,0,0,0,0,400,60,60,10,10,0,0,0,0,0
147,Arcane Umbra,Magician,4,0,0,0,0,50,0,0,0,0,400,95,95,10,20,0,0,0,0,0
148,Arcane Umbra,Magician,5,0,0,0,0,50,2000,2000,0,0,200,135,135,10,30,0,0,0,0,0
149,Arcane Umbra,Magician,6,0,0,0,0,50,2000,2000,30,30,400,165,165,10,30,0,0,0,0,0
150,Arcane Umbra,Magician,7,0,0,0,0,50,2000,2000,30,30,400,195,195,19,30,0,0,0,0,0
151,AbsoLab,Bowman,2,0,0,0,0,0,1500,1500,0,0,0,20,20,0,10,0,0,0,0,0
152,AbsoLab,Bowman,3,0,0,0,0,30,1500,1500,0,0,0,40,40,0,20,0,0,0,0,0
153,AbsoLab,Bowman,4,0,0,0,0,30,1500,1500,0,0,200,65,65,10,20,0,0,0,0,0
154,AbsoLab,Bowman,5,0,0,0,0,30,1500,1500,0,0,200,95,95,10,30,0,0,0,0,0
155,AbsoLab,Bowman,6,0,0,0,0,30,1500,1500,20,20,200,115,115,10,30,0,0,0,0,0
156,AbsoLab,Bowman,7,0,0,0,0,30,1500,1500,20,20,200,135,135,19,30,0,0,0,0,0
157,Eternal,Magician,2,0,0,0,0,0,2500,2500,0,0,0,40,40,0,10,0,0,0,0,0
158,Eternal,Magician,3,0,0,0,0,50,2500,2500,0,0,600,80,80,0,20,0,0,0,0,0
159,Eternal,Magician,4,0,0,0,0,50,2500,2500,15,15,600,120,120,0,30,0,0,0,0,0
160,Root Abyss,Bowman,2,20,20,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
161,Root Abyss,Bowman,3,20,20,0,0,0,1000,1000,10,10,0,50,0,0,0,0,0,0,0,0
162,Root Abyss,Bowman,4,20,20,0,0,0,1000,1000,10,10,0,50,0,0,30,0,0,0,0,0
163,Falcon Wing,Bowman,2,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
164,Falcon Wing,Bowman,3,0,0,0,0,0,0,0,15,15,300,0,0,0,0,0,0,0,0,0
165,Falcon Wing,Bowman,4,0,0,0,0,0,0,0,15,15,300,15,0,0,0,0,0,0,0,10
166,Falcon Wing,Bowman,5,0,0,0,0,20,0,0,15,15,300,15,0,0,0,0,0,2 Levels,0,10
167,Falcon Wing,Bowman,6,0,0,0,0,20,0,0,15,15,300,45,0,0,30,0,0,2 Levels,0,10
168,Falcon Wing,Bowman,7,0,0,0,0,20,0,0,30,30,300,55,0,0,30,0,0,2 Levels,0,10
