Types h5 p dl table: 100
StatIncrease => 
	split('chance to') => get Chance
2.2.2.11	LUK % Increase
2.2.2.12	MaxHP % Increase
2.2.2.13	MaxMP % Increase
2.2.2.14	DEF % Increase
2.2.2.15	All Stats Increase
2.2.3	Epic (Prime) / Unique (Non-prime)
2.2.3.1	STR % Increase
2.2.3.2	DEX % Increase
2.2.3.3	INT % Increase
2.2.3.4	LUK % Increase
2.2.3.5	MaxHP % Increase
2.2.3.6	MaxMP % Increase
2.2.3.7	DEF % Increase
2.2.3.8	All Stats % Increase
2.2.3.9	20% chance to ignore monster damage dealt
2.2.3.10	20% chance to ignore monster damage dealt
2.2.3.11	30% chance to ignore monster damage dealt
2.2.3.12	Invincibility Time +1 second
2.2.4	Unique (Prime) / Legendary (Non-prime)
2.2.4.1	STR % Increase
2.2.4.2	DEX % Increase
2.2.4.3	INT % Increase
2.2.4.4	LUK % Increase
2.2.4.5	MaxHP % Increase
2.2.4.6	MaxMP % Increase
2.2.4.7	DEF % Increase
2.2.4.8	All Stats % Increase
2.2.4.9	5% chance to ignore 20% of monster damage dealt
2.2.4.10	5% chance to ignore 40% of monster damage dealt
2.2.4.11	Invincibility Time +2 seconds
2.2.4.12	2% chance to be invincible when attacked
2.2.4.13	Reflect damage at a chance
2.2.4.14	Reflect damage at a chance
2.2.4.15	Skills and Potion HP Recovery % Increase
2.2.5	Legendary (Prime)
2.2.5.1	STR % Increase
2.2.5.2	DEX % Increase
2.2.5.3	INT % Increase
2.2.5.4	LUK % Increase
2.2.5.5	MaxHP % Increase
2.2.5.6	MaxMP % Increase
2.2.5.7	DEF % Increase
2.2.5.8	All Stats % Increase
2.2.5.9	10% chance to ignore 20% of monster damage dealt
2.2.5.10	10% chance to ignore 40% of monster damage dealt
2.2.5.11	Invincibility Time +3 seconds
2.2.5.12	4% chance to become invincible when attacked
2.2.5.13	Skills and Potion HP Recovery % Increase
2.3	Bottom
2.3.1	Rare (Non-prime)
2.3.1.1	STR Increase
2.3.1.2	DEX Increase
2.3.1.3	INT Increase
2.3.1.4	LUK Increase
2.3.1.5	MaxHP Increase
2.3.1.6	MaxMP Increase
2.3.1.7	DEF Increase
2.3.2	Rare (Prime) / Epic (Non-prime)
2.3.2.1	STR Increase
2.3.2.2	DEX Increase
2.3.2.3	INT Increase
2.3.2.4	LUK Increase
2.3.2.5	MaxHP Increase
2.3.2.6	MaxMP Increase
2.3.2.7	DEF Increase
2.3.2.8	STR % Increase
2.3.2.9	DEX % Increase
2.3.2.10	INT % Increase
2.3.2.11	LUK % Increase
2.3.2.12	MaxHP % Increase
2.3.2.13	MaxMP % Increase
2.3.2.14	DEF % Increase
2.3.2.15	All Stats Increase
2.3.3	Epic (Prime) / Unique (Non-prime)
2.3.3.1	STR % Increase
2.3.3.2	DEX % Increase
2.3.3.3	INT % Increase
2.3.3.4	LUK % Increase
2.3.3.5	MaxHP % Increase
2.3.3.6	MaxMP % Increase
2.3.3.7	DEF % Increase
2.3.3.8	All Stats % Increase
2.3.3.9	20% chance to ignore monster damage dealt
2.3.3.10	20% chance to ignore monster damage dealt
2.3.3.11	30% chance to ignore monster damage dealt
2.3.4	Unique (Prime) / Legendary (Non-prime)
2.3.4.1	STR % Increase
2.3.4.2	DEX % Increase
2.3.4.3	INT % Increase
2.3.4.4	LUK % Increase
2.3.4.5	MaxHP % Increase
2.3.4.6	MaxMP % Increase
2.3.4.7	DEF % Increase
2.3.4.8	All Stats % Increase
2.3.4.9	5% chance to ignore 20% of monster damage dealt
2.3.4.10	5% chance to ignore 40% of monster damage dealt
2.3.4.11	Skills and Potion HP Recovery % Increase
2.3.4.12	Decent Hyper Body enabled
2.3.5	Legendary (Prime)
2.3.5.1	STR % Increase
2.3.5.2	DEX % Increase
2.3.5.3	INT % Increase
2.3.5.4	LUK % Increase
2.3.5.5	MaxHP % Increase
2.3.5.6	MaxMP % Increase
2.3.5.7	DEF % Increase
2.3.5.8	All Stats % Increase
2.3.5.9	10% chance to ignore 20% of monster damage dealt
2.3.5.10	10% chance to ignore 40% of monster damage dealt
2.3.5.11	Reflect damage at a chance
2.3.5.12	Reflect damage at a chance
2.3.5.13	Skills and Potion HP Recovery % Increase
2.4	Gloves
2.4.1	Rare (Non-prime)
2.4.1.1	STR Increase
2.4.1.2	DEX Increase
2.4.1.3	INT Increase
2.4.1.4	LUK Increase
2.4.1.5	MaxHP Increase
2.4.1.6	MaxMP Increase
2.4.1.7	DEF Increase
2.4.2	Rare (Prime) / Epic (Non-prime)
2.4.2.1	STR Increase
2.4.2.2	DEX Increase
2.4.2.3	INT Increase
2.4.2.4	LUK Increase
2.4.2.5	MaxHP Increase
2.4.2.6	MaxMP Increase
2.4.2.7	DEF Increase
2.4.2.8	STR % Increase
2.4.2.9	DEX % Increase
2.4.2.10	INT % Increase
2.4.2.11	LUK % Increase
2.4.2.12	MaxHP % Increase
2.4.2.13	MaxMP % Increase
2.4.2.14	DEF % Increase
2.4.2.15	All Stats Increase
2.4.3	Epic (Prime) / Unique (Non-prime)
2.4.3.1	STR % Increase
2.4.3.2	DEX % Increase
2.4.3.3	INT % Increase
2.4.3.4	LUK % Increase
2.4.3.5	MaxHP % Increase
2.4.3.6	MaxMP % Increase
2.4.3.7	DEF % Increase
2.4.3.8	All Stats % Increase
2.4.3.9	20% chance to ignore monster damage dealt
2.4.3.10	20% chance to ignore monster damage dealt
2.4.3.11	30% chance to ignore monster damage dealt
2.4.3.12	15% chance to recover HP when you killed a monster
2.4.3.13	15% chance to recover MP when you killed a monster
2.4.4	Unique (Prime) / Legendary (Non-prime)
2.4.4.1	STR % Increase
2.4.4.2	DEX % Increase
2.4.4.3	INT % Increase
2.4.4.4	LUK % Increase
2.4.4.5	MaxHP % Increase
2.4.4.6	MaxMP % Increase
2.4.4.7	DEF % Increase
2.4.4.8	All Stats % Increase
2.4.4.9	STR +1 per 10 Character Levels
2.4.4.10	DEX +1 per 10 Character Levels
2.4.4.11	INT +1 per 10 Character Levels
2.4.4.12	LUK +1 per 10 Character Levels
2.4.4.13	5% chance to ignore 20% of monster damage dealt
2.4.4.14	5% chance to ignore 40% of monster damage dealt
2.4.4.15	Skills and Potion HP Recovery % Increase
2.4.4.16	1% Auto Steal Chance
2.4.4.17	2% Auto Steal Chance
2.4.4.18	Decent Sharp Eyes enabled
2.4.5	Legendary (Prime)
2.4.5.1	STR % Increase
2.4.5.2	DEX % Increase
2.4.5.3	INT % Increase
2.4.5.4	LUK % Increase
2.4.5.5	MaxHP % Increase
2.4.5.6	MaxMP % Increase
2.4.5.7	DEF % Increase
2.4.5.8	Critical Damage % Increase
2.4.5.9	All Stats % Increase
2.4.5.10	10% chance to ignore 20% of monster damage dealt
2.4.5.11	10% chance to ignore 40% of monster damage dealt
2.4.5.12	Skills and Potion HP Recovery % Increase
2.4.5.13	3% Auto Steal Chance
2.4.5.14	5% Auto Steal Chance
2.4.5.15	7% Auto Steal Chance
2.4.5.16	Decent Speed Infusion enabled
2.5	Shoes
2.5.1	Rare (Non-prime)
2.5.1.1	STR Increase
2.5.1.2	DEX Increase
2.5.1.3	INT Increase
2.5.1.4	LUK Increase
2.5.1.5	MaxHP Increase
2.5.1.6	MaxMP Increase
2.5.1.7	Speed Increase
2.5.1.8	Jump Increase
2.5.1.9	DEF Increase
2.5.2	Rare (Prime) / Epic (Non-prime)
2.5.2.1	STR Increase
2.5.2.2	DEX Increase
2.5.2.3	INT Increase
2.5.2.4	LUK Increase
2.5.2.5	MaxHP Increase
2.5.2.6	MaxMP Increase
2.5.2.7	Speed Increase
2.5.2.8	Jump Increase
2.5.2.9	DEF Increase
2.5.2.10	STR % Increase
2.5.2.11	DEX % Increase
2.5.2.12	INT % Increase
2.5.2.13	LUK % Increase
2.5.2.14	MaxHP % Increase
2.5.2.15	MaxMP % Increase
2.5.2.16	DEF % Increase
2.5.2.17	All Stats Increase
2.5.3	Epic (Prime) / Unique (Non-prime)
2.5.3.1	STR % Increase
2.5.3.2	DEX % Increase
2.5.3.3	INT % Increase
2.5.3.4	LUK % Increase
2.5.3.5	MaxHP % Increase
2.5.3.6	MaxMP % Increase
2.5.3.7	DEF % Increase
2.5.3.8	All Stats % Increase
2.5.3.9	20% chance to ignore monster damage dealt
2.5.3.10	20% chance to ignore monster damage dealt
2.5.3.11	30% chance to ignore monster damage dealt
2.5.4	Unique (Prime) / Legendary (Non-prime)
2.5.4.1	STR % Increase
2.5.4.2	DEX % Increase
2.5.4.3	INT % Increase
2.5.4.4	LUK % Increase
2.5.4.5	MaxHP % Increase
2.5.4.6	MaxMP % Increase
2.5.4.7	DEF % Increase
2.5.4.8	All Stats % Increase
2.5.4.9	5% chance to ignore 20% of monster damage dealt
2.5.4.10	5% chance to ignore 40% of monster damage dealt
2.5.4.11	Skills and Potion HP Recovery % Increase
2.5.4.12	Decent Haste enabled
2.5.5	Legendary (Prime)
2.5.5.1	STR % Increase
2.5.5.2	DEX % Increase
2.5.5.3	INT % Increase
2.5.5.4	LUK % Increase
2.5.5.5	MaxHP % Increase
2.5.5.6	MaxMP % Increase
2.5.5.7	DEF % Increase
2.5.5.8	All Stats % Increase
2.5.5.9	10% chance to ignore 20% of monster damage dealt
2.5.5.10	10% chance to ignore 40% of monster damage dealt
2.5.5.11	Skills and Potion HP Recovery % Increase
2.5.5.12	Decent Combat Orders enabled
2.6	Cape, Belt, Shoulderpad
2.6.1	Rare (Non-prime)
2.6.1.1	STR Increase
2.6.1.2	DEX Increase
2.6.1.3	INT Increase
2.6.1.4	LUK Increase
2.6.1.5	MaxHP Increase
2.6.1.6	MaxMP Increase
2.6.1.7	DEF Increase
2.6.2	Rare (Prime) / Epic (Non-prime)
2.6.2.1	STR Increase
2.6.2.2	DEX Increase
2.6.2.3	INT Increase
2.6.2.4	LUK Increase
2.6.2.5	MaxHP Increase
2.6.2.6	MaxMP Increase
2.6.2.7	DEF Increase
2.6.2.8	STR % Increase
2.6.2.9	DEX % Increase
2.6.2.10	INT % Increase
2.6.2.11	LUK % Increase
2.6.2.12	MaxHP % Increase
2.6.2.13	MaxMP % Increase
2.6.2.14	DEF % Increase
2.6.2.15	All Stats Increase
2.6.3	Epic (Prime) / Unique (Non-prime)
2.6.3.1	STR % Increase
2.6.3.2	DEX % Increase
2.6.3.3	INT % Increase
2.6.3.4	LUK % Increase
2.6.3.5	MaxHP % Increase
2.6.3.6	MaxMP % Increase
2.6.3.7	DEF % Increase
2.6.3.8	All Stats % Increase
2.6.3.9	20% chance to ignore monster damage dealt
2.6.3.10	20% chance to ignore monster damage dealt
2.6.3.11	30% chance to ignore monster damage dealt
2.6.4	Unique (Prime) / Legendary (Non-prime)
2.6.4.1	STR % Increase
2.6.4.2	DEX % Increase
2.6.4.3	INT % Increase
2.6.4.4	LUK % Increase
2.6.4.5	MaxHP % Increase
2.6.4.6	MaxMP % Increase
2.6.4.7	DEF % Increase
2.6.4.8	All Stats % Increase
2.6.4.9	5% chance to ignore 20% of monster damage dealt
2.6.4.10	5% chance to ignore 40% of monster damage dealt
2.6.4.11	Skills and Potion HP Recovery % Increase
2.6.5	Legendary (Prime)
2.6.5.1	STR % Increase
2.6.5.2	DEX % Increase
2.6.5.3	INT % Increase
2.6.5.4	LUK % Increase
2.6.5.5	MaxHP % Increase
2.6.5.6	MaxMP % Increase
2.6.5.7	DEF % Increase
2.6.5.8	All Stats % Increase
2.6.5.9	10% chance to ignore 20% of monster damage dealt
2.6.5.10	10% chance to ignore 40% of monster damage dealt
2.6.5.11	Skills and Potion HP Recovery % Increase
2.7	Face Accessory, Eye Accessory, Ring, Earring, Pendant
2.7.1	Rare (Non-prime)
2.7.1.1	STR Increase
2.7.1.2	DEX Increase
2.7.1.3	INT Increase
2.7.1.4	LUK Increase
2.7.1.5	MaxHP Increase
2.7.1.6	MaxMP Increase
2.7.1.7	DEF Increase
2.7.2	Rare (Prime) / Epic (Non-prime)
2.7.2.1	STR Increase
2.7.2.2	DEX Increase
2.7.2.3	INT Increase
2.7.2.4	LUK Increase
2.7.2.5	MaxHP Increase
2.7.2.6	MaxMP Increase
2.7.2.7	DEF Increase
2.7.2.8	STR % Increase
2.7.2.9	DEX % Increase
2.7.2.10	INT % Increase
2.7.2.11	LUK % Increase
2.7.2.12	MaxHP % Increase
2.7.2.13	MaxMP % Increase
2.7.2.14	DEF % Increase
2.7.2.15	All Stats Increase
2.7.2.16	Recover HP every 4 seconds
2.7.2.17	Recover MP every 4 seconds
2.7.3	Epic (Prime) / Unique (Non-prime)
2.7.3.1	STR % Increase
2.7.3.2	DEX % Increase
2.7.3.3	INT % Increase
2.7.3.4	LUK % Increase
2.7.3.5	MaxHP % Increase
2.7.3.6	MaxMP % Increase
2.7.3.7	DEF % Increase
2.7.3.8	All Stats % Increase
2.7.4	Unique (Prime) / Legendary (Non-prime)
2.7.4.1	STR % Increase
2.7.4.2	DEX % Increase
2.7.4.3	INT % Increase
2.7.4.4	LUK % Increase
2.7.4.5	MaxHP % Increase
2.7.4.6	MaxMP % Increase
2.7.4.7	DEF % Increase
2.7.4.8	All Stats % Increase
2.7.4.9	Skills and Potion HP Recovery % Increase
2.7.5	Legendary (Prime)
2.7.5.1	STR % Increase
2.7.5.2	DEX % Increase
2.7.5.3	INT % Increase
2.7.5.4	LUK % Increase
2.7.5.5	MaxHP % Increase
2.7.5.6	MaxMP % Increase
2.7.5.7	DEF % Increase
2.7.5.8	All Stats % Increase
2.7.5.9	MP Cost Reduction
2.7.5.10	MP Cost Reduction
2.7.5.11	Skills and Potion HP Recovery % Increase
2.7.5.12	Mesos Obtained % Increase
2.7.5.13	Item Drop Rate % Increase
2.8	Weapon
2.8.1	Rare (Non-prime)
2.8.1.1	STR Increase
2.8.1.2	DEX Increase
2.8.1.3	INT Increase
2.8.1.4	LUK Increase
2.8.1.5	MaxHP Increase
2.8.1.6	MaxMP Increase
2.8.1.7	Weapon ATT Increase
2.8.1.8	Magic ATT Increase
2.8.2	Rare (Prime) / Epic (Non-prime)
2.8.2.1	STR Increase
2.8.2.2	DEX Increase
2.8.2.3	INT Increase
2.8.2.4	LUK Increase
2.8.2.5	MaxHP Increase
2.8.2.6	MaxMP Increase
2.8.2.7	Weapon ATT Increase
2.8.2.8	Magic ATT Increase
2.8.2.9	STR % Increase
2.8.2.10	DEX % Increase
2.8.2.11	INT % Increase
2.8.2.12	LUK % Increase
2.8.2.13	Weapon ATT % Increase
2.8.2.14	Magic ATT % Increase
2.8.2.15	Critical Rate +4%
2.8.2.16	Damage % Increase
2.8.2.17	All Stats Increase
2.8.2.18	Chance to recover HP when attacking
2.8.2.19	Chance to recover MP when attacking
2.8.2.20	Chance to inflict darkness when attacking
2.8.2.21	Chance to inflict slow when attacking
2.8.2.22	Chance to inflict poison when attacking
2.8.2.23	Chance to inflict stun when attacking
2.8.2.24	Chance to inflict seal when attacking
2.8.2.25	Chance to inflict freeze when attacking
2.8.2.26	Ignores 15% of Monster's DEF when attacking
2.8.3	Epic (Prime) / Unique (Non-prime)
2.8.3.1	STR % Increase
2.8.3.2	DEX % Increase
2.8.3.3	INT % Increase
2.8.3.4	LUK % Increase
2.8.3.5	MaxHP % Increase
2.8.3.6	MaxMP % Increase
2.8.3.7	Weapon ATT % Increase
2.8.3.8	Magic ATT % Increase
2.8.3.9	Critical Rate +8%
2.8.3.10	Damage % Increase
2.8.3.11	All Stats % Increase
2.8.3.12	Chance to recover HP when attacking
2.8.3.13	Chance to recover MP when attacking
2.8.3.14	Ignore 15% of Monster's DEF when attacking
2.8.4	Unique (Prime) / Legendary (Non-prime)
2.8.4.1	STR % Increase
2.8.4.2	DEX % Increase
2.8.4.3	INT % Increase
2.8.4.4	LUK % Increase
2.8.4.5	Weapon ATT % Increase
2.8.4.6	Magic ATT % Increase
2.8.4.7	Critical Rate % Increase
2.8.4.8	Damage % Increase
2.8.4.9	All Stats % Increase
2.8.4.10	Ignore 30% of Monster's DEF when attacking
2.8.4.11	Damage to Boss Monsters +30%
2.8.5	Legendary (Prime)
2.8.5.1	STR % Increase
2.8.5.2	DEX % Increase
2.8.5.3	INT % Increase
2.8.5.4	LUK % Increase
2.8.5.5	Weapon ATT % Increase
2.8.5.6	Magic ATT % Increase
2.8.5.7	Critical Rate % Increase
2.8.5.8	Damage % Increase
2.8.5.9	All Stats % Increase
2.8.5.10	Weapon ATT +1 per 10 Character Levels
2.8.5.11	Magic ATT +1 per 10 Character Levels
2.8.5.12	Ignore 35% of Monster's DEF when attacking
2.8.5.13	Ignore 40% of Monster's DEF when attacking
2.8.5.14	Damage to Boss Monsters +30%
2.8.5.15	Damage to Boss Monsters +35%
2.8.5.16	Damage to Boss Monsters +40%
2.9	Secondary Weapon (excluding Demon Aegis and Soul Rings)
2.9.1	Rare (Non-prime)
2.9.1.1	STR Increase
2.9.1.2	DEX Increase
2.9.1.3	INT Increase
2.9.1.4	LUK Increase
2.9.1.5	MaxHP Increase
2.9.1.6	MaxMP Increase
2.9.1.7	Weapon ATT Increase
2.9.1.8	Magic ATT Increase
2.9.2	Rare (Prime) / Epic (Non-prime)
2.9.2.1	STR Increase
2.9.2.2	DEX Increase
2.9.2.3	INT Increase
2.9.2.4	LUK Increase
2.9.2.5	MaxHP Increase
2.9.2.6	MaxMP Increase
2.9.2.7	Weapon ATT Increase
2.9.2.8	Magic ATT Increase
2.9.2.9	STR % Increase
2.9.2.10	DEX % Increase
2.9.2.11	INT % Increase
2.9.2.12	LUK % Increase
2.9.2.13	Weapon ATT % Increase
2.9.2.14	Magic ATT % Increase
2.9.2.15	Critical Rate +4%
2.9.2.16	Damage % Increase
2.9.2.17	All Stats Increase
2.9.2.18	Chance to recover HP when attacking
2.9.2.19	Chance to recover MP when attacking
2.9.2.20	Chance to inflict darkness when attacking
2.9.2.21	Chance to inflict slow when attacking
2.9.2.22	Chance to inflict poison when attacking
2.9.2.23	Chance to inflict stun when attacking
2.9.2.24	Chance to inflict seal when attacking
2.9.2.25	Chance to inflict freeze when attacking
2.9.2.26	Ignores 15% of Monster's DEF when attacking
2.9.3	Epic (Prime) / Unique (Non-prime)
2.9.3.1	STR % Increase
2.9.3.2	DEX % Increase
2.9.3.3	INT % Increase
2.9.3.4	LUK % Increase
2.9.3.5	MaxHP % Increase
2.9.3.6	MaxMP % Increase
2.9.3.7	Weapon ATT % Increase
2.9.3.8	Magic ATT % Increase
2.9.3.9	Critical Rate +8%
2.9.3.10	Damage % Increase
2.9.3.11	All Stats % Increase
2.9.3.12	Chance to recover HP when attacking
2.9.3.13	Chance to recover MP when attacking
2.9.3.14	Ignore 15% of Monster's DEF when attacking
2.9.3.15	20% chance to ignore monster damage dealt
2.9.3.16	20% chance to ignore monster damage dealt
2.9.3.17	30% chance to ignore monster damage dealt
2.9.4	Unique (Prime) / Legendary (Non-prime)
2.9.4.1	STR % Increase
2.9.4.2	DEX % Increase
2.9.4.3	INT % Increase
2.9.4.4	LUK % Increase
2.9.4.5	Weapon ATT % Increase
2.9.4.6	Magic ATT % Increase
2.9.4.7	Critical Rate % Increase
2.9.4.8	Damage % Increase
2.9.4.9	All Stats % Increase
2.9.4.10	Ignore 30% of Monster's DEF when attacking
2.9.4.11	5% chance to ignore 20% of monster damage dealt
2.9.4.12	5% chance to ignore 40% of monster damage dealt
2.9.4.13	Damage to Boss Monsters +30%
2.9.5	Legendary (Prime)
2.9.5.1	STR % Increase
2.9.5.2	DEX % Increase
2.9.5.3	INT % Increase
2.9.5.4	LUK % Increase
2.9.5.5	Weapon ATT % Increase
2.9.5.6	Magic ATT % Increase
2.9.5.7	Critical Rate % Increase
2.9.5.8	Damage % Increase
2.9.5.9	All Stats % Increase
2.9.5.10	Weapon ATT +1 per 10 Character Levels
2.9.5.11	Magic ATT +1 per 10 Character Levels
2.9.5.12	Ignore 35% of Monster's DEF when attacking
2.9.5.13	Ignore 40% of Monster's DEF when attacking
2.9.5.14	10% chance to ignore 20% of monster damage dealt
2.9.5.15	10% chance to ignore 40% of monster damage dealt
2.9.5.16	Damage to Boss Monsters +30%
2.9.5.17	Damage to Boss Monsters +35%
2.9.5.18	Damage to Boss Monsters +40%
2.10	Demon Aegis and Soul Rings
2.10.1	Rare (Non-prime)
2.10.1.1	STR Increase
2.10.1.2	DEX Increase
2.10.1.3	INT Increase
2.10.1.4	LUK Increase
2.10.1.5	MaxHP Increase
2.10.1.6	Weapon ATT Increase
2.10.1.7	Magic ATT Increase
2.10.2	Rare (Prime) / Epic (Non-prime)
2.10.2.1	STR Increase
2.10.2.2	DEX Increase
2.10.2.3	INT Increase
2.10.2.4	LUK Increase
2.10.2.5	MaxHP Increase
2.10.2.6	Weapon ATT Increase
2.10.2.7	Magic ATT Increase
2.10.2.8	STR % Increase
2.10.2.9	DEX % Increase
2.10.2.10	INT % Increase
2.10.2.11	LUK % Increase
2.10.2.12	Weapon ATT % Increase
2.10.2.13	Magic ATT % Increase
2.10.2.14	Critical Rate +4%
2.10.2.15	Damage % Increase
2.10.2.16	All Stats Increase
2.10.2.17	Chance to recover HP when attacking
2.10.2.18	Chance to recover MP when attacking
2.10.2.19	Chance to inflict darkness when attacking
2.10.2.20	Chance to inflict slow when attacking
2.10.2.21	Chance to inflict poison when attacking
2.10.2.22	Chance to inflict stun when attacking
2.10.2.23	Chance to inflict seal when attacking
2.10.2.24	Chance to inflict freeze when attacking
2.10.2.25	Ignores 15% of Monster's DEF when attacking
2.10.3	Epic (Prime) / Unique (Non-prime)
2.10.3.1	STR % Increase
2.10.3.2	DEX % Increase
2.10.3.3	INT % Increase
2.10.3.4	LUK % Increase
2.10.3.5	MaxHP % Increase
2.10.3.6	Weapon ATT % Increase
2.10.3.7	Magic ATT % Increase
2.10.3.8	Critical Rate +8%
2.10.3.9	Damage % Increase
2.10.3.10	All Stats % Increase
2.10.3.11	Chance to recover HP when attacking
2.10.3.12	Chance to recover MP when attacking
2.10.3.13	Ignore 15% of Monster's DEF when attacking
2.10.3.14	20% chance to ignore monster damage dealt
2.10.3.15	20% chance to ignore monster damage dealt
2.10.3.16	30% chance to ignore monster damage dealt
2.10.4	Unique (Prime) / Legendary (Non-prime)
2.10.4.1	STR % Increase
2.10.4.2	DEX % Increase
2.10.4.3	INT % Increase
2.10.4.4	LUK % Increase
2.10.4.5	Weapon ATT % Increase
2.10.4.6	Magic ATT % Increase
2.10.4.7	Critical Rate % Increase
2.10.4.8	Damage % Increase
2.10.4.9	All Stats % Increase
2.10.4.10	Ignore 30% of Monster's DEF when attacking
2.10.4.11	5% chance to ignore 20% of monster damage dealt
2.10.4.12	5% chance to ignore 40% of monster damage dealt
2.10.4.13	Damage to Boss Monsters +30%
2.10.5	Legendary (Prime)
2.10.5.1	STR % Increase
2.10.5.2	DEX % Increase
2.10.5.3	INT % Increase
2.10.5.4	LUK % Increase
2.10.5.5	Weapon ATT % Increase
2.10.5.6	Magic ATT % Increase
2.10.5.7	Critical Rate % Increase
2.10.5.8	Damage % Increase
2.10.5.9	All Stats % Increase
2.10.5.10	Weapon ATT +1 per 10 Character Levels
2.10.5.11	Magic ATT +1 per 10 Character Levels
2.10.5.12	Ignore 35% of Monster's DEF when attacking
2.10.5.13	Ignore 40% of Monster's DEF when attacking
2.10.5.14	10% chance to ignore 20% of monster damage dealt
2.10.5.15	10% chance to ignore 40% of monster damage dealt
2.10.5.16	Damage to Boss Monsters +30%
2.10.5.17	Damage to Boss Monsters +35%
2.10.5.18	Damage to Boss Monsters +40%
2.11	Emblem
2.11.1	Rare (Non-prime)
2.11.1.1	STR Increase
2.11.1.2	DEX Increase
2.11.1.3	INT Increase
2.11.1.4	LUK Increase
2.11.1.5	MaxHP Increase
2.11.1.6	MaxMP Increase
2.11.1.7	Weapon ATT Increase
2.11.1.8	Magic ATT Increase
2.11.2	Rare (Prime) / Epic (Non-prime)
2.11.2.1	STR Increase
2.11.2.2	DEX Increase
2.11.2.3	INT Increase
2.11.2.4	LUK Increase
2.11.2.5	MaxHP Increase
2.11.2.6	MaxMP Increase
2.11.2.7	Weapon ATT Increase
2.11.2.8	Magic ATT Increase
2.11.2.9	STR % Increase
2.11.2.10	DEX % Increase
2.11.2.11	INT % Increase
2.11.2.12	LUK % Increase
2.11.2.13	Weapon ATT % Increase
2.11.2.14	Magic ATT % Increase
2.11.2.15	Critical Rate +4%
2.11.2.16	Damage % Increase
2.11.2.17	All Stats Increase
