,EquipSlot,Grade,Prime,DisplayStat,Stat Increase,StatT,Item Level,Initial,In-game cube,Cash cube,Chance,Duration,Stat value
128,Overall,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,20.0,,
129,Overall,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,20.0,,
130,Overall,Epic,Prime,30% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,30.0,,
131,Overall,Epic,Prime,Invincibility Time +1 second,Invincibility Time,Flat,0,10,10,7.8947,,1.0,1.0
132,Top,Unique,Prime,STR% Increase,STR Increase,Perc,40,5.1282,6.0606,7.5757,,,
133,Top,Unique,Prime,DEX% Increase,DEX Increase,Perc,40,5.1282,6.0606,7.5757,,,
134,Top,Unique,Prime,INT% Increase,INT Increase,Perc,40,5.1282,6.0606,7.5757,,,
135,Top,Unique,Prime,LUK% Increase,LUK Increase,Perc,40,5.1282,6.0606,7.5757,,,
136,Top,Unique,Prime,MaxHP% Increase,MaxHP Increase,Perc,40,7.6923,9.0909,9.0909,,,
137,Top,Unique,Prime,MaxMP% Increase,MaxMP Increase,Perc,40,7.6923,9.0909,9.0909,,,
138,Top,Unique,Prime,DEF% Increase,DEF Increase,Perc,40,7.6923,9.0909,6.0606,,,
139,Top,Unique,Prime,All Stats% Increase,All Stats Increase,Perc,40,2.5641,3.0303,6.0606,,,
140,Top,Unique,Prime,5% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,40,7.6923,9.0909,6.0606,5.0,,
141,Top,Unique,Prime,5% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,40,7.6923,9.0909,6.0606,5.0,,
142,Top,Unique,Prime,Invincibility Time +2 seconds,Invincibility Time,Flat,40,7.6923,9.0909,6.0606,,2.0,2.0
143,Top,Unique,Prime,2% chance to be invincible when attacked,be invincible when attacked,Perc,40,7.6923,9.0909,6.0606,2.0,,
144,Top,Unique,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,40,7.6923,0,6.0606,,,
145,Top,Unique,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,40,7.6923,0,3.0303,,,
146,Top,Unique,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,40,7.6923,9.0909,6.0606,,,
147,Overall,Unique,Prime,STR% Increase,STR Increase,Perc,40,5.1282,6.0606,7.5757,,,
148,Overall,Unique,Prime,DEX% Increase,DEX Increase,Perc,40,5.1282,6.0606,7.5757,,,
149,Overall,Unique,Prime,INT% Increase,INT Increase,Perc,40,5.1282,6.0606,7.5757,,,
150,Overall,Unique,Prime,LUK% Increase,LUK Increase,Perc,40,5.1282,6.0606,7.5757,,,
151,Overall,Unique,Prime,MaxHP% Increase,MaxHP Increase,Perc,40,7.6923,9.0909,9.0909,,,
152,Overall,Unique,Prime,MaxMP% Increase,MaxMP Increase,Perc,40,7.6923,9.0909,9.0909,,,
153,Overall,Unique,Prime,DEF% Increase,DEF Increase,Perc,40,7.6923,9.0909,6.0606,,,
154,Overall,Unique,Prime,All Stats% Increase,All Stats Increase,Perc,40,2.5641,3.0303,6.0606,,,
155,Overall,Unique,Prime,5% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,40,7.6923,9.0909,6.0606,5.0,,
156,Overall,Unique,Prime,5% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,40,7.6923,9.0909,6.0606,5.0,,
157,Overall,Unique,Prime,Invincibility Time +2 seconds,Invincibility Time,Flat,40,7.6923,9.0909,6.0606,,2.0,2.0
158,Overall,Unique,Prime,2% chance to be invincible when attacked,be invincible when attacked,Perc,40,7.6923,9.0909,6.0606,2.0,,
159,Overall,Unique,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,40,7.6923,0,6.0606,,,
160,Overall,Unique,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,40,7.6923,0,3.0303,,,
161,Overall,Unique,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,40,7.6923,9.0909,6.0606,,,
162,Top,Legendary,Prime,STR% Increase,STR Increase,Perc,70,5.8823,5.8823,9.3023,,,
163,Top,Legendary,Prime,DEX% Increase,DEX Increase,Perc,70,5.8823,5.8823,9.3023,,,
164,Top,Legendary,Prime,INT% Increase,INT Increase,Perc,70,5.8823,5.8823,9.3023,,,
165,Top,Legendary,Prime,LUK% Increase,LUK Increase,Perc,70,5.8823,5.8823,9.3023,,,
166,Top,Legendary,Prime,MaxHP% Increase,MaxHP Increase,Perc,70,8.8235,8.8235,9.3023,,,
167,Top,Legendary,Prime,MaxMP% Increase,MaxMP Increase,Perc,70,8.8235,8.8235,9.3023,,,
168,Top,Legendary,Prime,DEF% Increase,DEF Increase,Perc,70,8.8235,8.8235,9.3023,,,
169,Top,Legendary,Prime,All Stats% Increase,All Stats Increase,Perc,70,5.8823,5.8823,6.9767,,,
170,Top,Legendary,Prime,10% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,70,8.8235,8.8235,6.9767,10.0,,
171,Top,Legendary,Prime,10% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,70,8.8235,8.8235,6.9767,10.0,,
172,Top,Legendary,Prime,Invincibility Time +3 seconds,Invincibility Time,Flat,70,8.8235,8.8235,6.9767,,3.0,3.0
173,Top,Legendary,Prime,4% chance to become invincible when attacked,become invincible when attacked,Perc,70,8.8235,8.8235,6.9767,4.0,,
174,Top,Legendary,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,70,8.8235,8.8235,0,,,
175,Overall,Legendary,Prime,STR% Increase,STR Increase,Perc,70,5.8823,5.8823,9.3023,,,
176,Overall,Legendary,Prime,DEX% Increase,DEX Increase,Perc,70,5.8823,5.8823,9.3023,,,
177,Overall,Legendary,Prime,INT% Increase,INT Increase,Perc,70,5.8823,5.8823,9.3023,,,
178,Overall,Legendary,Prime,LUK% Increase,LUK Increase,Perc,70,5.8823,5.8823,9.3023,,,
179,Overall,Legendary,Prime,MaxHP% Increase,MaxHP Increase,Perc,70,8.8235,8.8235,9.3023,,,
180,Overall,Legendary,Prime,MaxMP% Increase,MaxMP Increase,Perc,70,8.8235,8.8235,9.3023,,,
181,Overall,Legendary,Prime,DEF% Increase,DEF Increase,Perc,70,8.8235,8.8235,9.3023,,,
182,Overall,Legendary,Prime,All Stats% Increase,All Stats Increase,Perc,70,5.8823,5.8823,6.9767,,,
183,Overall,Legendary,Prime,10% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,70,8.8235,8.8235,6.9767,10.0,,
184,Overall,Legendary,Prime,10% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,70,8.8235,8.8235,6.9767,10.0,,
185,Overall,Legendary,Prime,Invincibility Time +3 seconds,Invincibility Time,Flat,70,8.8235,8.8235,6.9767,,3.0,3.0
186,Overall,Legendary,Prime,4% chance to become invincible when attacked,become invincible when attacked,Perc,70,8.8235,8.8235,6.9767,4.0,,
187,Overall,Legendary,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,70,8.8235,8.8235,0,,,
188,Bottom,Rare,Non prime,STR Increase,STR Increase,Flat,0,11.7647,11.7647,14.2857,,,
189,Bottom,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,11.7647,11.7647,14.2857,,,
190,Bottom,Rare,Non prime,INT Increase,INT Increase,Flat,0,11.7647,11.7647,14.2857,,,
191,Bottom,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,11.7647,11.7647,14.2857,,,
192,Bottom,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,17.647,17.647,14.2857,,,
193,Bottom,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,17.647,17.647,14.2857,,,
194,Bottom,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,17.647,17.647,14.2857,,,
195,Bottom,Rare,Prime,STR Increase,STR Increase,Flat,0,5.5555,5.5555,7.5,,,
196,Bottom,Rare,Prime,DEX Increase,DEX Increase,Flat,0,5.5555,5.5555,7.5,,,
197,Bottom,Rare,Prime,INT Increase,INT Increase,Flat,0,5.5555,5.5555,7.5,,,
198,Bottom,Rare,Prime,LUK Increase,LUK Increase,Flat,0,5.5555,5.5555,7.5,,,
199,Bottom,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,0,8.3333,8.3333,7.5,,,
200,Bottom,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,0,8.3333,8.3333,7.5,,,
201,Bottom,Rare,Prime,DEF Increase,DEF Increase,Flat,0,8.3333,8.3333,5,,,
202,Bottom,Rare,Prime,STR% Increase,STR Increase,Perc,0,5.5555,5.5555,7.5,,,
203,Bottom,Rare,Prime,DEX% Increase,DEX Increase,Perc,0,5.5555,5.5555,7.5,,,
204,Bottom,Rare,Prime,INT% Increase,INT Increase,Perc,0,5.5555,5.5555,7.5,,,
205,Bottom,Rare,Prime,LUK% Increase,LUK Increase,Perc,0,5.5555,5.5555,7.5,,,
206,Bottom,Rare,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,8.3333,8.3333,5,,,
207,Bottom,Rare,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,8.3333,8.3333,5,,,
208,Bottom,Rare,Prime,DEF% Increase,DEF Increase,Perc,0,8.3333,8.3333,5,,,
209,Bottom,Rare,Prime,All Stats Increase,All Stats Increase,Flat,0,5.5555,5.5555,5,,,
210,Bottom,Epic,Prime,STR% Increase,STR Increase,Perc,0,7.4074,7.4074,14.2857,,,
211,Bottom,Epic,Prime,DEX% Increase,DEX Increase,Perc,0,7.4074,7.4074,14.2857,,,
212,Bottom,Epic,Prime,INT% Increase,INT Increase,Perc,0,7.4074,7.4074,14.2857,,,
213,Bottom,Epic,Prime,LUK% Increase,LUK Increase,Perc,0,7.4074,7.4074,14.2857,,,
214,Bottom,Epic,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,11.1111,11.1111,14.2857,,,
215,Bottom,Epic,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,11.1111,11.1111,14.2857,,,
216,Bottom,Epic,Prime,DEF% Increase,DEF Increase,Perc,0,11.1111,11.1111,8.5714,,,
217,Bottom,Epic,Prime,All Stats% Increase,All Stats Increase,Perc,0,3.7037,3.7037,5.7142,,,
218,Bottom,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,20.0,,
219,Bottom,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,20.0,,
220,Bottom,Epic,Prime,30% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,30.0,,
221,Bottom,Unique,Prime,STR% Increase,STR Increase,Perc,70,6.8965,6.8965,8.9285,,,
222,Bottom,Unique,Prime,DEX% Increase,DEX Increase,Perc,70,6.8965,6.8965,8.9285,,,
223,Bottom,Unique,Prime,INT% Increase,INT Increase,Perc,70,6.8965,6.8965,8.9285,,,
224,Bottom,Unique,Prime,LUK% Increase,LUK Increase,Perc,70,6.8965,6.8965,8.9285,,,
225,Bottom,Unique,Prime,MaxHP% Increase,MaxHP Increase,Perc,70,10.3448,10.3448,10.7142,,,
226,Bottom,Unique,Prime,MaxMP% Increase,MaxMP Increase,Perc,70,10.3448,10.3448,10.7142,,,
227,Bottom,Unique,Prime,DEF% Increase,DEF Increase,Perc,70,10.3448,10.3448,7.1428,,,
228,Bottom,Unique,Prime,All Stats% Increase,All Stats Increase,Perc,70,3.4482,3.4482,7.1428,,,
229,Bottom,Unique,Prime,5% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,70,10.3448,10.3448,7.1428,5.0,,
230,Bottom,Unique,Prime,5% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,70,10.3448,10.3448,7.1428,5.0,,
231,Bottom,Unique,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,70,10.3448,10.3448,7.1428,,,
232,Bottom,Unique,Prime,Decent Hyper Body enabled,Decent Hyper Body enabled,Flat,70,6.8965,6.8965,7.1428,,,
233,Bottom,Legendary,Prime,STR% Increase,STR Increase,Perc,70,5.8823,5.8823,10.8108,,,
234,Bottom,Legendary,Prime,DEX% Increase,DEX Increase,Perc,70,5.8823,5.8823,10.8108,,,
235,Bottom,Legendary,Prime,INT% Increase,INT Increase,Perc,70,5.8823,5.8823,10.8108,,,
236,Bottom,Legendary,Prime,LUK% Increase,LUK Increase,Perc,70,5.8823,5.8823,10.8108,,,
237,Bottom,Legendary,Prime,MaxHP% Increase,MaxHP Increase,Perc,70,8.8235,8.8235,10.8108,,,
238,Bottom,Legendary,Prime,MaxMP% Increase,MaxMP Increase,Perc,70,8.8235,8.8235,10.8108,,,
239,Bottom,Legendary,Prime,DEF% Increase,DEF Increase,Perc,70,8.8235,8.8235,10.8108,,,
240,Bottom,Legendary,Prime,All Stats% Increase,All Stats Increase,Perc,70,5.8823,5.8823,8.1081,,,
241,Bottom,Legendary,Prime,10% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,70,8.8235,8.8235,8.1081,10.0,,
242,Bottom,Legendary,Prime,10% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,70,8.8235,8.8235,8.1081,10.0,,
243,Bottom,Legendary,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,70,8.8235,8.8235,0,,,
244,Bottom,Legendary,Prime,Reflect damage at a chance,Reflect damage at a chance,Flat,70,8.8235,8.8235,0,,,
