,Unnamed: 0,EquipSlot,EquipSet,EquipName,WeaponType,EquipLevel,STR,DEX,INT,LUK,Max HP,Defense,Weapon Attack,Magic Attack,Attack Speed,Boss Damage,Ignored Enemy Defense,Movement Speed,Knockback Chance,Number of Upgrades,Equipment Set
34,34,Weapon,Utgard,Utgard Restraint,Bladecaster,140,0,0,0,0,0,0,122,0,Fast,0,0,0,0,8,8th
35,35,Weapon,Genesis,Genesis Dagger,Dagger,200,0,150,0,150,0,0,318,0,Fast,30,20,0,0,8,Lucky
36,36,Weapon,AbsoLab,AbsoLab Blade Lord,Dagger,160,0,60,0,60,0,0,192,0,Fast,30,10,0,0,8,AbsoLab
37,37,Weapon,Arcane,Arcane Umbra Dagger,Dagger,200,0,100,0,100,0,0,276,0,Fast,30,20,0,0,8,Arcane Umbra
38,38,Weapon,Lapis,Lapis Type 1,Heavy Sword,100,0,0,0,0,0,80,102,0,Slow,0,0,0,0,7,None
39,39,Weapon,Utgard,Utgard Dagger,Dagger,140,0,0,0,0,0,0,115,0,Fast,0,0,0,0,8,8th
40,40,Weapon,Genesis,Genesis Axe,One Handed Axe,200,150,150,0,0,0,0,326,0,Fast,30,20,0,0,8,Lucky
41,41,Weapon,Fafnir,Fafnir Damascus,Dagger,150,0,40,0,40,0,0,160,0,Fast,30,10,0,0,8,Root Abyss
42,42,Weapon,Arcane,Arcane Umbra Axe,One Handed Axe,200,100,100,0,0,0,0,283,0,Fast,30,20,0,0,8,Arcane Umbra
43,43,Weapon,AbsoLab,AbsoLab Axe,One Handed Axe,160,60,60,0,0,0,0,197,0,Fast,30,10,0,0,8,AbsoLab
44,44,Weapon,Fafnir,Fafnir Twin Cleaver,One Handed Axe,150,40,40,0,0,0,0,164,0,Fast,30,10,0,0,8,Root Abyss
45,45,Weapon,Utgard,Utgard Desperado,Desperado,140,0,0,0,0,0,0,122,0,Normal,0,0,0,0,8,8th
46,46,Weapon,Utgard,Utgard Axe,One Handed Axe,140,0,0,0,0,0,0,118,0,Fast,0,0,0,0,8,8th
47,47,Weapon,Lapis,Dragonic Lapis Axe,One Handed Axe,110,5,5,0,0,100,0,111,0,Normal,0,0,0,0,8,None
48,48,Weapon,Utgard,Utgard Two-handed Sword,Two Handed Sword,140,0,0,0,0,0,0,122,0,Normal,0,0,0,0,8,8th
49,49,Weapon,Genesis,Genesis Two-Handed Sword,Two Handed Sword,200,150,150,0,0,0,0,340,0,Normal,30,20,0,0,8,Lucky
50,50,Weapon,Utgard,Utgard Siege Gun,Hand Cannon,140,0,0,0,0,0,140,122,0,Slow,0,0,0,0,8,8th
51,51,Weapon,Lapis,Machlear,Katana,105,1,1,0,0,0,0,101,0,Normal,0,0,0,0,7,None
52,52,Weapon,Utgard,Utgard Dual Bowguns,Dual Bowguns,140,0,0,0,0,0,0,115,0,Normal,0,0,14,0,8,8th
53,53,Weapon,Utgard,Utgard Pistol,Gun,140,0,0,0,0,0,0,90,0,Fast,0,0,0,0,8,8th
54,54,Weapon,Arcane,Arcane Umbra Dual Bowguns,Dual Bowguns,200,100,100,0,0,0,0,276,0,Normal,30,20,0,0,8,Arcane Umbra
55,55,Weapon,Genesis,Genesis Crossbow,Crossbow,200,150,150,0,0,0,0,326,0,Normal,30,20,19,71,8,Lucky
56,56,Weapon,Utgard,Utgard Hrimthurs,Arm Cannon,140,0,0,0,0,0,0,90,0,Fast,0,0,0,0,8,8th
57,57,Weapon,Genesis,Genesis Ellaha,Arm Cannon,200,150,150,0,0,0,0,255,0,Fast,30,20,0,0,8,Lucky
58,58,Weapon,Genesis,Genesis Dual Bowguns,Dual Bowguns,200,150,150,0,0,0,0,318,0,Normal,30,20,19,0,8,Lucky
59,59,Weapon,Utgard,Utgard Whispershot,Whispershot,140,0,0,0,0,0,0,115,0,Fast,0,0,14,0,8,8th
60,60,Weapon,Utgard,Utgard Two-handed Axe,Two Handed Axe,140,0,0,0,0,0,0,124,0,Normal,0,0,0,0,8,8th
61,61,Weapon,Utgard,Utgard Ancient Bow,Ancient Bow,140,0,0,0,0,0,0,115,0,Normal,0,0,14,75,8,8th
62,62,Weapon,Genesis,Genesis Whispershot,Whispershot,200,150,150,0,0,0,0,318,0,Fast,30,20,19,80,8,Lucky
63,63,Weapon,Utgard,Utgard Wand,Wand,140,0,0,0,0,0,0,93,153,Normal,0,0,0,0,8,8th
64,64,Weapon,Utgard,Utgard Crossbow,Crossbow,140,0,0,0,0,0,0,118,0,Normal,0,0,14,68,8,8th
65,65,Weapon,Utgard,Utgard Shining Rod,Shining Rod,140,0,0,0,0,0,0,93,153,Normal,0,0,0,0,8,8th
66,66,Weapon,Genesis,Genesis Wand,Wand,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
67,67,Weapon,Utgard,Utgard Dragon Soul,Soul Shooter,140,0,0,0,0,0,0,92,0,Fast,0,0,0,0,8,8th
68,68,Weapon,Genesis,Genesis Shining Rod,Shining Rod,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
69,69,Weapon,Arcane,Arcane Umbra Shining Rod,Shining Rod,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
70,70,Weapon,AbsoLab,AbsoLab Shining Rod,Shining Rod,160,0,0,60,60,0,0,143,241,Normal,30,10,0,0,8,AbsoLab
71,71,Weapon,Fafnir,Fafnir Mana Cradle,Shining Rod,150,0,0,40,40,0,0,119,201,Normal,30,10,0,0,8,Root Abyss
72,72,Weapon,Genesis,Genesis Soul Shooter,Soul Shooter,200,150,150,0,0,0,0,255,0,Fast,30,20,0,0,8,Lucky
73,73,Weapon,Arcane,Arcane Umbra Soul Shooter,Soul Shooter,200,100,100,0,0,0,0,221,0,Fast,30,20,0,0,8,Arcane Umbra
74,74,Weapon,AbsoLab,AbsoLab Soul Shooter,Soul Shooter,160,60,60,0,0,0,0,154,0,Fast,30,10,0,0,8,AbsoLab
75,75,Weapon,Utgard,Utgard Staff,Staff,140,0,0,0,0,0,0,98,155,Normal,0,0,0,0,8,8th
76,76,Weapon,Lapis,Lapis Sword,One Handed Sword,105,1,1,0,0,0,0,101,0,Fast,0,0,0,0,7,None
77,77,Weapon,Fafnir,Fafnir Angelic Shooter,Soul Shooter,150,40,40,0,0,0,0,128,0,Fast,30,10,0,0,8,Root Abyss
78,78,Weapon,Genesis,Genesis Staff,Staff,200,0,0,150,150,0,0,251,406,Slow,30,20,0,0,8,Lucky
79,79,Weapon,Arcane,Arcane Umbra Staff,Staff,200,0,0,100,100,0,0,218,353,Slow,30,20,0,0,8,Arcane Umbra
80,80,Weapon,AbsoLab,AbsoLab Spellsong Staff,Staff,160,0,0,60,60,0,0,151,245,Slow,30,10,0,0,8,AbsoLab
81,81,Weapon,Genesis,Genesis Saber,One Handed Sword,200,150,150,0,0,0,0,326,0,Fast,30,20,0,0,8,Lucky
82,82,Weapon,Arcane,Arcane Umbra Saber,One Handed Sword,200,100,100,0,0,0,0,283,0,Fast,30,20,0,0,8,Arcane Umbra
83,83,Weapon,AbsoLab,AbsoLab Saber,One Handed Sword,160,60,60,0,0,0,0,197,0,Fast,30,10,0,0,8,AbsoLab
84,84,Weapon,Fafnir,Fafnir Mistilteinn,One Handed Sword,150,40,40,0,0,0,0,164,0,Fast,30,10,0,0,8,Root Abyss
85,85,Weapon,Utgard,Utgard Saber,One Handed Sword,140,0,0,0,0,0,0,118,0,Fast,0,0,0,0,8,8th
86,86,Weapon,Genesis,Genesis Fan,Fan,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
87,87,Weapon,Arcane,Arcane Umbra Fan,Fan,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
88,88,Weapon,Fafnir,Fafnir Mana Crown,Staff,150,0,0,40,40,0,0,126,204,Slow,30,10,0,0,8,Root Abyss
89,89,Weapon,AbsoLab,AbsoLab Summoner,Fan,160,0,0,60,60,0,0,143,241,Slow,30,10,0,0,8,AbsoLab
90,90,Weapon,Fafnir,Fafnir Indigo Flash,Fan,150,0,0,40,40,0,0,126,204,Slow,30,10,0,0,8,Root Abyss
91,91,Weapon,Arcane,Arcane Umbra Wand,Wand,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
92,92,Weapon,Genesis,Genesis Energy Chain,Whip Blade,200,150,150,0,0,0,0,255,0,Fast,30,20,0,0,8,Lucky
93,93,Weapon,Genesis,Genesis Energy Chain,Whip Blade,200,150,150,0,150,0,0,255,0,Fast,30,20,0,0,8,Lucky
94,94,Weapon,Arcane,Arcane Umbra Energy Chain,Whip Blade,200,100,100,0,0,0,0,221,0,Fast,30,20,0,0,8,Arcane Umbra
95,95,Weapon,Fafnir,Fafnir Split Edge,Whip Blade,150,0,40,0,40,0,0,128,0,Fast,30,10,0,0,8,Root Abyss
96,96,Weapon,AbsoLab,AbsoLab Whip Blade,Whip Blade,160,0,60,0,60,0,0,154,0,Fast,30,10,0,0,8,AbsoLab
97,97,Weapon,Genesis,Genesis Guards,Claw,200,0,150,0,150,0,0,172,0,Fast,30,20,0,0,8,Lucky
98,98,Weapon,AbsoLab,AbsoLab Spellsong Wand,Wand,160,0,0,60,60,0,0,143,241,Normal,30,10,0,0,8,AbsoLab
99,99,Weapon,AbsoLab,AbsoLab Revenge Guard,Claw,160,0,60,0,60,0,0,103,0,Fast,30,10,0,0,8,AbsoLab
100,100,Weapon,Arcane,Arcane Umbra Whispershot,Whispershot,200,100,100,0,0,0,0,276,0,Fast,30,20,19,0,8,Arcane Umbra
101,101,Weapon,AbsoLab,AbsoLab Whispershot,Whispershot,160,60,60,0,0,0,0,192,0,Fast,30,10,12,0,8,AbsoLab
102,102,Weapon,Fafnir,Fafnir Nightchaser,Whispershot,150,40,40,0,0,0,0,160,0,Fast,30,10,0,75,8,Root Abyss
103,103,Weapon,Fafnir,Fafnir Mana Taker,Wand,150,0,0,40,40,0,0,119,201,Normal,30,10,0,0,8,Root Abyss
104,104,Weapon,Utgard,Utgard Fan,Fan,140,0,0,0,0,0,0,93,115,Fast,0,0,0,0,8,8th
105,105,Weapon,Utgard,Utgard Energy Chain,Whip Blade,140,0,0,0,0,0,0,90,0,Fast,0,0,0,0,8,8th
106,106,Weapon,Utgard,Utgard Guards,Claw,140,0,0,0,10,0,0,62,0,Fast,0,0,0,0,8,8th
107,107,Weapon,Genesis,Genesis Two-Handed Axe,Two Handed Axe,200,150,150,0,0,0,0,340,0,Normal,30,20,0,0,8,Lucky
108,108,Weapon,AbsoLab,AbsoLab Broad Axe,Two Handed Axe,160,60,60,0,0,0,0,205,0,Normal,30,10,0,0,8,AbsoLab
109,109,Weapon,Fafnir,Fafnir Risk Holder,Claw,150,0,40,0,40,0,0,86,0,Fast,30,10,0,0,8,Root Abyss
110,110,Weapon,Fafnir,Fafnir Battle Cleaver,Two Handed Axe,150,40,40,0,0,0,0,171,0,Normal,30,10,0,0,8,Root Abyss
111,111,Weapon,Genesis,Genesis Ancient Bow,Ancient Bow,200,150,150,0,0,0,0,318,0,Normal,30,20,19,80,8,Lucky
112,112,Weapon,Arcane,Arcane Umbra Ancient Bow,Ancient Bow,200,100,100,0,0,0,0,276,0,Normal,30,20,19,80,8,Arcane Umbra
113,113,Weapon,AbsoLab,AbsoLab Ancient Bow,Ancient Bow,160,60,60,0,0,0,0,192,0,Normal,30,10,12,75,8,AbsoLab
114,114,Weapon,Fafnir,Fafnir Ancient Bow,Ancient Bow,150,40,40,0,0,0,0,160,0,Normal,30,10,0,75,8,Root Abyss
115,115,Weapon,Arcane,Arcane Umbra Ellaha,Arm Cannon,200,100,100,0,0,0,0,221,0,Fast,30,20,0,0,8,Arcane Umbra
116,116,Weapon,AbsoLab,AbsoLab Pile God,Arm Cannon,160,60,60,0,0,0,0,154,0,Fast,30,10,0,0,8,AbsoLab
117,117,Weapon,Arcane,Arcane Umbra Guards,Claw,200,0,100,0,100,0,0,149,0,Fast,30,20,0,0,8,Arcane Umbra
118,118,Weapon,Arcane,Arcane Umbra Two-handed Axe,Two Handed Axe,200,100,100,0,0,0,0,295,0,Normal,30,20,0,0,8,Arcane Umbra
119,119,Weapon,Fafnir,Fafnir Big Mountain,Arm Cannon,150,40,40,0,0,0,0,128,0,Fast,30,10,0,0,8,Root Abyss
120,120,Weapon,Genesis,Genesis Two-Handed Hammer,Two Handed Blunt Weapon,200,150,150,0,0,0,0,340,0,Normal,30,20,0,0,8,Lucky
121,121,Weapon,AbsoLab,AbsoLab Broad Hammer,Two Handed Blunt Weapon,160,60,60,0,0,0,0,205,0,Normal,30,10,0,0,8,AbsoLab
122,122,Weapon,Fafnir,Fafnir Lightning Striker,Two Handed Blunt Weapon,150,40,40,0,0,0,0,171,0,Normal,30,10,0,0,8,Root Abyss
123,123,Weapon,Genesis,Genesis Bow,Bow,200,150,150,0,0,0,0,318,0,Normal,30,20,19,80,8,Lucky
124,124,Weapon,AbsoLab,AbsoLab Sureshot Bow,Bow,160,60,60,0,0,0,0,192,0,Normal,30,10,12,75,8,AbsoLab
125,125,Weapon,Arcane,Arcane Umbra Bow,Bow,200,100,100,0,0,0,0,276,0,Normal,30,20,19,80,8,Arcane Umbra
126,126,Weapon,Fafnir,Fafnir Wind Chaser,Bow,150,40,40,0,0,0,0,160,0,Normal,30,10,0,75,8,Root Abyss
127,127,Weapon,Utgard,Utgard Two-handed Hammer,Two Handed Blunt Weapon,140,0,0,0,0,0,0,124,0,Normal,0,0,0,0,8,8th
128,128,Weapon,Utgard,Utgard Bow,Bow,140,0,0,0,0,0,0,115,0,Normal,0,0,14,75,8,8th
129,129,Weapon,AbsoLab,AbsoLab Crossbow,Crossbow,160,60,60,0,0,0,0,197,0,Normal,30,10,15,68,8,AbsoLab
130,130,Weapon,AbsoLab,AbsoLab Dual Bowguns,Dual Bowguns,160,60,60,0,0,0,0,192,0,Normal,30,10,15,0,8,AbsoLab
131,131,Weapon,Arcane,Arcane Umbra Two-Handed Hammer,Two Handed Blunt Weapon,200,100,100,0,0,0,0,295,0,Normal,30,20,0,0,8,Arcane Umbra
132,132,Weapon,Fafnir,Fafnir Windwing Shooter,Crossbow,150,40,40,0,0,0,0,164,0,Normal,30,10,0,75,8,Root Abyss
133,133,Weapon,Arcane,Arcane Umbra Crossbow,Crossbow,200,100,100,0,0,0,0,283,0,Normal,30,20,19,71,8,Arcane Umbra
134,134,Weapon,Fafnir,Fafnir Dual Windwing,Dual Bowguns,150,40,40,0,0,0,0,160,0,Normal,30,10,0,0,8,Root Abyss
135,135,Weapon,Genesis,Genesis Siege Gun,Hand Cannon,200,150,150,0,0,0,250,348,0,Fast,30,20,0,0,8,Lucky
136,136,Weapon,Arcane,Arcane Umbra Siege Gun,Hand Cannon,200,100,100,0,0,0,200,302,0,Slow,30,20,0,0,8,Arcane Umbra
137,137,Weapon,AbsoLab,AbsoLab Blast Cannon,Hand Cannon,160,60,60,0,0,0,160,210,0,Slow,30,10,0,0,8,AbsoLab
138,138,Weapon,Fafnir,Fafnir Lost Cannon,Hand Cannon,150,40,40,0,0,0,121,175,0,Slow,30,10,0,0,8,Root Abyss
139,139,Weapon,Genesis,Genesis Katana,Katana,200,150,150,0,0,0,0,326,0,Fast,30,20,0,0,8,Lucky
140,140,Weapon,Fafnir,Fafnir Raven Ring,Katana,150,40,40,0,0,0,0,164,0,Fast,30,10,0,0,8,Root Abyss
141,141,Weapon,AbsoLab,AbsoLab Katana,Katana,160,60,60,0,0,0,0,197,0,Fast,30,10,0,0,8,AbsoLab
142,142,Weapon,Utgard,Utgard Katana,Katana,140,0,0,0,0,0,0,118,0,Fast,0,0,0,0,8,8th
143,143,Weapon,Arcane,Arcane Umbra Katana,Katana,200,100,100,0,0,0,0,283,0,Fast,30,20,0,0,8,Arcane Umbra
144,144,Weapon,Genesis,Genesis Pistol,Gun,200,150,150,0,0,0,0,249,0,Fast,30,20,0,0,8,Lucky
145,145,Weapon,Arcane,Arcane Umbra Pistol,Gun,200,100,100,0,0,0,0,216,0,Fast,30,20,0,0,8,Arcane Umbra
146,146,Weapon,AbsoLab,AbsoLab Point Gun,Gun,160,60,60,0,0,0,0,150,0,Fast,30,10,0,0,8,AbsoLab
147,147,Weapon,Fafnir,Fafnir Zeliska,Gun,150,40,40,0,0,0,0,125,0,Fast,30,10,0,0,8,Root Abyss
148,148,Weapon,Genesis,Genesis Claw,Knuckle,200,150,150,0,0,0,0,255,0,Fast,30,20,0,0,8,Lucky
149,149,Weapon,Arcane,Arcane Umbra Knuckle,Knuckle,200,100,100,0,0,0,0,221,0,Fast,30,20,0,0,8,Arcane Umbra
150,150,Weapon,AbsoLab,AbsoLab Blast Knuckle,Knuckle,160,60,60,0,0,0,0,154,0,Fast,30,10,0,0,8,AbsoLab
151,151,Weapon,Fafnir,Fafnir Perry Talon,Knuckle,150,40,40,0,0,0,0,128,0,Fast,30,10,0,0,8,Root Abyss
152,152,Weapon,Utgard,Utgard Claw,Knuckle,140,0,0,0,0,0,0,90,0,Fast,0,0,0,0,8,8th
153,153,Weapon,Genesis,Genesis Spear,Spear,200,150,150,0,0,0,0,340,0,Normal,30,20,0,0,8,Lucky
154,154,Weapon,Arcane,Arcane Umbra Spear,Spear,200,100,100,0,0,0,0,295,0,Normal,30,20,0,0,8,Arcane Umbra
155,155,Weapon,Fafnir,Fafnir Brionak,Spear,150,40,40,0,0,0,0,171,0,Normal,30,10,0,0,8,Root Abyss
156,156,Weapon,AbsoLab,AbsoLab Piercing Spear,Spear,160,60,60,0,0,0,0,205,0,Normal,30,10,0,0,8,AbsoLab
157,157,Weapon,Fafnir,Fafnir Penitent Tears,Two Handed Sword,150,40,40,0,0,0,0,171,0,Normal,30,10,0,0,8,Root Abyss
158,158,Weapon,Genesis,Genesis Polearm,Polearm,200,150,150,0,0,0,0,304,0,Fast,30,20,0,0,8,Lucky
159,159,Weapon,Arcane,Arcane Umbra Polearm,Polearm,200,100,100,0,0,0,0,264,0,Fast,30,20,0,0,8,Arcane Umbra
160,160,Weapon,AbsoLab,AbsoLab Hellslayer,Polearm,160,60,60,0,0,0,0,184,0,Fast,30,10,0,0,8,AbsoLab
161,161,Weapon,AbsoLab,AbsoLab Broad Saber,Two Handed Sword,160,60,60,0,0,0,0,205,0,Normal,30,10,0,0,8,AbsoLab
162,162,Weapon,Utgard,Utgard Spear,Spear,140,0,0,0,0,0,0,124,0,Normal,0,0,0,0,8,8th
163,163,Weapon,Arcane,Arcane Umbra Two-handed Sword,Two Handed Sword,200,100,100,0,0,0,0,295,0,Normal,30,20,0,0,8,Arcane Umbra
164,164,Weapon,Utgard,Utgard Hellslayer,Polearm,140,0,0,0,0,0,0,122,0,Fast,0,0,0,0,8,8th
165,165,Weapon,Fafnir,Fafnir Moon Glaive,Polearm,150,40,40,0,0,0,0,153,0,Fast,30,10,0,0,8,Root Abyss
166,166,Weapon,Utgard,Utgard Psy-limiter,Psy limiter,140,0,0,0,0,0,0,93,153,Normal,0,0,0,0,8,8th
167,167,Weapon,Utgard,Utgard Giant Ritual Fan,Ritual Fan,140,0,0,0,0,0,0,115,0,Fast,0,0,0,0,8,8th
168,168,Weapon,Genesis,Genesis Psy-limiter,Psy limiter,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
169,169,Weapon,Genesis,Genesis Scepter,Scepter,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
170,170,Weapon,Arcane,Arcane Umbra Scepter,Scepter,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
171,171,Weapon,AbsoLab,AbsoLab Scepter,Scepter,160,0,0,60,60,0,0,143,241,Normal,30,10,0,0,8,AbsoLab
172,172,Weapon,Fafnir,Fafnir Scepter,Scepter,150,0,0,40,40,0,0,119,201,Normal,30,10,0,0,8,Root Abyss
173,173,Weapon,Lazuli,Lazuli Type 9,Long Sword,200,100,100,0,0,0,0,293,0,Normal,30,20,0,0,8,None
174,174,Weapon,Lazuli,Lazuli Type 8,Long Sword,180,60,60,0,0,0,0,203,0,Normal,30,10,0,0,8,None
175,175,Weapon,Lazuli,Lazuli Type 7,Long Sword,170,40,40,0,0,0,0,169,0,Normal,30,10,0,0,8,None
176,176,Weapon,Lazuli,Lazuli Type 6,Long Sword,150,35,20,0,0,0,0,135,0,Normal,0,0,0,0,8,None
177,177,Weapon,Lazuli,Lazuli Type 5,Long Sword,140,8,4,0,0,0,0,117,0,Normal,0,0,0,0,8,None
178,178,Weapon,Lazuli,Lazuli Type 4,Long Sword,130,0,0,0,0,0,0,112,0,Normal,0,0,0,0,7,None
179,179,Weapon,Lazuli,Lazuli Type 3,Long Sword,120,0,0,0,0,0,0,105,0,Normal,0,0,0,0,7,None
180,180,Weapon,Lazuli,Lazuli Type 2,Long Sword,110,0,0,0,0,0,0,103,0,Normal,0,0,0,0,7,None
181,181,Weapon,Utgard,Utgard Shining Stick,Scepter,140,0,0,0,0,0,0,93,153,Normal,0,0,0,0,8,8th
182,182,Weapon,Genesis,Genesis Lucent Gauntlet,Lucent Gauntlet,200,0,0,150,150,0,0,237,400,Normal,30,20,0,0,8,Lucky
183,183,Weapon,Arcane,Arcane Umbra Lucent Gauntlet,Lucent Gauntlet,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
184,184,Weapon,Fafnir,Fafnir Lucent Gauntlet,Lucent Gauntlet,150,0,0,40,40,0,0,119,201,Normal,30,10,0,0,8,Root Abyss
185,185,Weapon,Lazuli,Lazuli Type 1,Long Sword,100,0,0,0,0,0,0,100,0,Normal,0,0,0,0,7,None
186,186,Weapon,Utgard,Utgard Lucent Gauntlet,Lucent Gauntlet,140,0,0,0,0,0,0,93,153,Normal,0,0,0,0,8,8th
187,187,Weapon,Arcane,Arcane Umbra Psy-limiter,Psy limiter,200,0,0,100,100,0,0,206,347,Normal,30,20,0,0,8,Arcane Umbra
188,188,Weapon,AbsoLab,AbsoLab Psy-limiter,Psy limiter,160,0,0,60,60,0,0,143,241,Normal,30,10,0,0,8,AbsoLab
189,189,Weapon,Fafnir,Fafnir Psy-limiter,Psy limiter,150,0,0,40,40,0,0,110,201,Normal,30,10,0,0,8,Root Abyss
190,190,Weapon,Genesis,Genesis Ritual Fan,Ritual Fan,200,0,150,0,150,0,0,318,0,Fast,30,20,0,0,8,Lucky
191,191,Weapon,Arcane,Arcane Umbra Super Ritual Fan,Ritual Fan,200,0,100,0,100,0,0,276,0,Fast,30,20,0,0,8,Arcane Umbra
192,192,Weapon,AbsoLab,AbsoLab Monster Ritual Fan,Ritual Fan,160,0,60,0,60,0,0,192,0,Fast,30,10,0,0,8,AbsoLab
193,193,Weapon,Fafnir,Fafnir Dragon Ritual Fan,Ritual Fan,150,0,40,0,40,0,0,160,0,Fast,30,10,0,0,8,Root Abyss
