,EquipSlot,ClassName,EquipName,WeaponType,EquipLevel,STR,DEX,LUK,INT,All Stats,Max HP,Max MP,Defense,Weapon Attack,Magic Attack,Attack Speed,Max DF
104,Secondary,Lara,Immortal Four-Jade Ornament,Ornament,140,0,0,14,14,0,0,0,0,0,9,0,0
105,Secondary,Xenon,Dual Core Controller,Core Controller,10,0,0,0,0,2,300,100,150,0,0,0,0
106,Secondary,Xenon,Quad Core Controller,Core Controller,30,0,0,0,0,2,500,300,200,0,0,0,0
107,Secondary,Xenon,Hexa Core Controller,Core Controller,60,0,0,0,0,2,700,400,250,0,0,0,0
108,Secondary,Xenon,Octa Core Controller,Core Controller,100,0,0,0,0,2,900,500,380,0,0,0,0
109,Secondary,Xenon,Onyx Maple Octo Core Controller,Core Controller,100,0,0,0,0,2,800,450,380,0,0,0,0
110,Secondary,Xenon,Maple Treasure Controller,Core Controller,110,0,0,0,0,3,0,450,390,0,0,0,0
111,Secondary,Xenon,Princess No's Controller,Core Controller,140,0,0,0,0,4,600,600,550,0,0,0,0
112,Secondary,Phantom,Carte Magique,Card,10,0,0,0,0,0,0,0,0,0,0,0,0
113,Secondary,Illium,Basic Lucent Wings,Lucent Wings,1,0,0,1,1,0,0,0,0,0,0,0,0
114,Secondary,Phantom,Carte Fantasmatique,Card,30,0,0,0,0,0,0,0,0,0,0,0,0
115,Secondary,Phantom,Carte Magnifique,Card,60,0,0,0,0,0,0,0,0,0,0,0,0
116,Secondary,Phantom,Carte Finale,Card,100,0,0,0,0,0,0,0,0,0,0,0,0
117,Secondary,Phantom,Carte Onyx Maple,Card,100,0,8,8,0,0,0,0,0,0,0,0,0
118,Secondary,Phantom,Maple Treasure Carte,Card,110,0,9,9,0,0,0,0,0,0,0,0,0
119,Secondary,Phantom,Princess No's Carte,Card,140,0,14,14,0,0,0,0,0,0,0,0,0
120,Secondary,Illium,Core Lucent Wings,Lucent Wings,30,0,0,4,4,0,0,0,0,0,1,0,0
121,Secondary,Illium,Holy Lucent Wings,Lucent Wings,60,0,0,6,6,0,0,0,0,0,2,0,0
122,Secondary,Illium,Glory Lucent Wings,Lucent Wings,100,0,0,10,10,0,0,0,0,0,3,0,0
123,Secondary,Illium,Onyx Maple Lucent Wings,Lucent Wings,100,0,0,8,8,0,0,0,0,0,5,0,0
124,Secondary,Illium,Princess No's Lucent Wings,Lucent Wings,140,0,0,14,14,0,0,0,0,0,9,0,0
125,Secondary,Battle Mage,Equalizer Ball,Magic Marble,30,0,0,4,4,0,0,0,0,0,1,0,0
126,Secondary,Battle Mage,Energizer Ball,Magic Marble,60,0,0,6,6,0,0,0,0,0,2,0,0
127,Secondary,Battle Mage,Maximizer Ball,Magic Marble,100,0,0,10,10,0,0,0,0,0,3,0,0
128,Secondary,Battle Mage,Onyx Maple Maximizer Ball,Magic Marble,100,0,0,8,8,0,0,0,0,0,5,0,0
129,Secondary,Battle Mage,Maple Treasure Equalizer Ball,Magic Marble,110,0,0,9,9,0,0,0,0,0,6,0,0
130,Secondary,Battle Mage,Princess No's Accursed Marble,Magic Marble,140,0,0,14,14,0,0,0,0,0,9,0,0
131,Secondary,Mercedes,Magic Arrows,Magic Arrow,10,0,0,0,0,0,0,0,0,0,0,0,0
132,Secondary,Mercedes,Sharp Magic Arrows,Magic Arrow,30,0,0,0,0,0,0,0,0,0,0,0,0
133,Secondary,Mercedes,Eternal Magic Arrows,Magic Arrow,60,0,0,0,0,0,0,0,0,0,0,0,0
134,Secondary,Mercedes,Infinite Magic Arrows,Magic Arrow,100,0,0,0,0,0,0,0,0,0,0,0,0
135,Secondary,Mercedes,Onyx Maple Magic Arrows,Magic Arrow,100,8,8,0,0,0,0,0,0,0,0,0,0
136,Secondary,Mercedes,Maple Treasure Magic Arrows,Magic Arrow,110,9,9,0,0,0,0,0,0,0,0,0,0
137,Secondary,Mercedes,Princess No's Accursed Arrow,Magic Arrow,140,14,14,0,0,0,0,0,0,0,0,0,0
138,Secondary,Marksman,One Shot,Bow Thimble,30,4,4,0,0,0,0,0,0,1,0,0,0
139,Secondary,Marksman,Sure Shot,Bow Thimble,60,6,6,0,0,0,0,0,0,2,0,0,0
140,Secondary,Marksman,True Shot,Bow Thimble,100,10,10,0,0,0,0,0,0,3,0,0,0
141,Secondary,Marksman,Onyx Maple True Shot,Bow Thimble,100,8,8,0,0,0,0,0,0,5,0,0,0
142,Secondary,Marksman,Maple Treasure True Shot,Bow Thimble,110,9,9,0,0,0,0,0,0,6,0,0,0
143,Secondary,Marksman,Princess No's Wreath,Bow Thimble,140,14,14,0,0,0,0,0,0,9,0,0,0
144,Secondary,Evan,Dragon Master's Records,Document,30,0,0,4,4,0,0,0,0,0,1,0,0
145,Secondary,"Magician (Fire, Poison)",Rusty Book <Strophe>,Magic Book,30,0,0,4,4,0,0,0,0,0,1,0,0
146,Secondary,Evan,Dragon Master's Research,Document,60,0,0,6,6,0,0,0,0,0,2,0,0
147,Secondary,Evan,Dragon Master's Legacy,Document,100,0,0,10,10,0,0,0,0,0,3,0,0
148,Secondary,Evan,Onyx Maple Dragon Master's Legacy,Document,100,0,0,8,8,0,0,0,0,0,5,0,0
149,Secondary,Evan,Maple Treasure Legacy,Document,110,0,0,9,9,0,0,0,0,0,6,0,0
150,Secondary,Evan,Princess No's Dragon Legacy,Document,140,0,0,14,14,0,0,0,0,0,9,0,0
151,Secondary,"Magician (Fire, Poison)",Rusty Book <Antistrophe>,Magic Book,60,0,0,6,6,0,0,0,0,0,2,0,0
152,Secondary,"Magician (Fire, Poison)",Rusty Book <Epode>,Magic Book,100,0,0,10,10,0,0,0,0,0,3,0,0
153,Secondary,"Magician (Fire, Poison)",Onyx Maple Rusty Book,Magic Book,100,0,0,8,8,0,0,0,0,0,5,0,0
154,Secondary,"Magician (Fire, Poison)",Maple Treasure Rusty Book,Magic Book,110,0,0,9,9,0,0,0,0,0,6,0,0
155,Secondary,"Magician (Fire, Poison)",Princess No's Flaming Book,Magic Book,140,0,0,14,14,0,0,0,0,0,9,0,0
156,Secondary,"Magician (Ice, Lightning)",Metallic Blue Book <Strophe>,Magic Book,30,0,0,4,4,0,0,0,0,0,1,0,0
157,Secondary,"Magician (Ice, Lightning)",Metallic Blue Book <Antistrophe>,Magic Book,60,0,0,6,6,0,0,0,0,0,2,0,0
158,Secondary,"Magician (Ice, Lightning)",Metallic Blue Book <Epode>,Magic Book,100,0,0,10,10,0,0,0,0,0,3,0,0
159,Secondary,"Magician (Ice, Lightning)",Onyx Maple Metallic Book,Magic Book,100,0,0,8,8,0,0,0,0,0,5,0,0
160,Secondary,Luminous,Light Orb,Orb,10,0,0,0,0,0,0,0,0,0,0,0,0
161,Secondary,"Magician (Ice, Lightning)",Maple Treasure Metallic Book,Magic Book,110,0,0,9,9,0,0,0,0,0,6,0,0
162,Secondary,"Magician (Ice, Lightning)",Princess No's Damp Book,Magic Book,140,0,0,14,14,0,0,0,0,0,9,0,0
163,Secondary,Bishop,White Gold Book <Strophe>,Magic Book,30,0,0,4,4,0,0,0,0,0,1,0,0
164,Secondary,Bishop,White Gold Book <Antistrophe>,Magic Book,60,0,0,6,6,0,0,0,0,0,2,0,0
165,Secondary,Bishop,White Gold Book <Epode>,Magic Book,100,0,0,10,10,0,0,0,0,0,3,0,0
166,Secondary,Bishop,Onyx Maple White Gold Book,Magic Book,100,0,0,8,8,0,0,0,0,0,5,0,0
167,Secondary,Bishop,Maple Treasure White Gold Book,Magic Book,110,0,0,9,9,0,0,0,0,0,6,0,0
168,Secondary,Bishop,Princess No's Golden Book,Magic Book,140,0,0,14,14,0,0,0,0,0,9,0,0
169,Secondary,Kinesis,Pawn Chess Piece,Chess Piece,1,0,0,1,1,0,0,0,0,0,0,0,0
170,Secondary,Luminous,Shining Orb,Orb,30,0,0,0,0,0,0,0,0,0,0,0,0
171,Secondary,Luminous,Twinkling Orb,Orb,60,0,0,0,0,0,0,0,0,0,0,0,0
172,Secondary,Luminous,Karma Orb,Orb,100,0,0,0,0,0,0,0,0,0,0,0,0
173,Secondary,Luminous,Onyx Maple Orb,Orb,100,0,0,8,8,0,0,0,0,0,0,0,0
174,Secondary,Luminous,Maple Treasure Orb,Orb,110,0,0,9,9,0,0,0,0,0,0,0,0
175,Secondary,Luminous,Princess No's Soul Orb,Orb,140,0,0,14,14,0,0,0,0,0,0,0,0
176,Secondary,Kinesis,Knight Chess Piece,Chess Piece,30,0,0,4,4,0,0,0,0,0,1,0,0
177,Secondary,Kinesis,Rook Chess Piece,Chess Piece,60,0,0,6,6,0,0,0,0,0,2,0,0
178,Secondary,Kinesis,Queen Chess Piece,Chess Piece,100,0,0,10,10,0,0,0,0,0,3,0,0
179,Secondary,Kinesis,Onyx Maple Queen Chess Piece,Chess Piece,100,0,0,8,8,0,0,0,0,0,5,0,0
180,Secondary,Kinesis,Maple Treasure Chess Piece,Chess Piece,110,0,0,10,10,0,0,0,0,0,7,0,0
181,Secondary,Kinesis,Princess No's Oriental King Chess Piece,Chess Piece,140,0,0,14,14,0,0,0,0,0,9,0,0
182,Secondary,Demon Slayer,Force Shield of Patience,Demon Aegis,10,0,0,0,0,0,0,0,10,0,0,0,20
183,Secondary,Demon Slayer,Force Shield of Will,Demon Aegis,30,0,0,0,0,0,150,0,30,0,0,0,50
184,Secondary,Demon Slayer,Force Shield of Authority,Demon Aegis,60,7,7,0,0,0,350,0,60,0,0,0,80
185,Secondary,Demon Slayer,Force Shield of Extremes,Demon Aegis,100,12,12,0,0,0,600,0,85,0,0,0,110
186,Secondary,Demon Slayer,Princess No's Accursed Shield,Demon Aegis,140,17,17,0,0,0,968,0,140,0,0,0,173
187,Secondary,Demon Avenger,Force Shield of Patience,Demon Aegis,10,0,0,0,0,0,0,0,10,0,0,0,0
188,Secondary,Demon Avenger,Force Shield of Will,Demon Aegis,30,0,0,0,0,0,150,0,30,0,0,0,0
189,Secondary,Demon Avenger,Force Shield of Authority,Demon Aegis,60,7,0,0,0,0,400,0,60,0,0,0,0
190,Secondary,Demon Avenger,Force Shield of Extremes,Demon Aegis,100,12,0,0,0,0,700,0,85,0,0,0,0
191,Secondary,Demon Avenger,Princess No's Accursed Shield,Demon Aegis,140,17,0,0,0,0,1168,0,140,0,0,0,0
192,Secondary,Dark Knight,Stark Chain,Iron Chain,30,4,4,0,0,0,0,0,0,1,0,0,0
193,Secondary,Demon,Onyx Maple Force Shield,Demon Aegis,100,10,10,0,0,0,560,0,81,0,0,0,100
194,Secondary,Demon,Ruin Force Shield,Demon Aegis,100,10,10,0,0,0,560,0,81,0,0,0,100
195,Secondary,Demon,Maple Treasure Force Shield,Demon Aegis,110,11,11,0,0,0,560,0,0,0,0,0,100
196,Secondary,Dark Knight,Dark Chain,Iron Chain,60,6,6,0,0,0,0,0,0,2,0,0,0
197,Secondary,Dark Knight,Berserk Chain,Iron Chain,100,10,10,0,0,0,0,0,0,3,0,0,0
198,Secondary,Dark Knight,Onyx Maple Chain,Iron Chain,100,8,8,0,0,0,0,0,0,5,0,0,0
199,Secondary,Dark Knight,Maple Treasure Chain,Iron Chain,110,9,9,0,0,0,0,0,0,6,0,0,0
200,Secondary,Dark Knight,Princess No's Flower Chain,Iron Chain,140,14,14,0,0,0,0,0,0,9,0,0,0
201,Secondary,Hayato,White Tiger Blade,Kodachi,10,1,0,0,0,0,0,0,0,0,0,0,0
202,Secondary,Hayato,Blue Dragon Blade,Kodachi,30,2,0,0,0,0,0,0,0,0,0,0,0
203,Secondary,Hayato,Lake Monster Blade,Kodachi,60,3,0,0,0,0,0,0,0,1,0,0,0
204,Secondary,Hayato,Fire Phoenix Blade,Kodachi,100,4,0,0,0,0,0,0,0,2,0,0,0
205,Secondary,Hayato,Onyx Maple Tiger Blade,Kodachi,100,3,0,0,0,0,0,0,0,2,0,0,0
206,Secondary,Hayato,Maple Treasure Kodachi,Kodachi,110,3,0,0,0,0,0,0,0,2,0,0,0
207,Secondary,Hayato,Princess No's Wakizashi,Kodachi,140,17,17,0,0,0,0,0,0,9,0,0,0
208,Secondary,Cygnus Knights,Ereve Fragment,Jewel,30,0,0,0,0,4,0,0,0,1,1,0,0
209,Secondary,Cygnus Knights,Ereve Idea,Jewel,60,0,0,0,0,6,0,0,0,2,2,0,0
210,Secondary,Cygnus Knights,Ereve Brilliance,Jewel,100,0,0,0,0,10,0,0,0,3,3,0,0
211,Secondary,Cygnus Knights,Onyx Maple Ereve Brilliance,Jewel,100,0,0,0,0,8,0,0,0,5,5,0,0
212,Secondary,Cygnus Knights,Maple Treasure Ereve Brilliance,Jewel,110,0,0,0,0,9,0,0,0,6,6,0,0
213,Secondary,Cygnus Knights,Princess No's Floral Jewel,Jewel,140,0,0,0,0,14,0,0,0,9,9,0,0
214,Secondary,Paladin,Holy Rosary,Rosary,30,4,4,0,0,0,0,0,0,1,0,0,0
215,Secondary,Adele,Trace Bladebinder,Bracelet,10,3,3,0,0,0,0,0,0,0,0,0,0
216,Secondary,Paladin,Divine Rosary,Rosary,60,6,6,0,0,0,0,0,0,2,0,0,0
217,Secondary,Paladin,Sacred Rosary,Rosary,100,10,10,0,0,0,0,0,0,3,0,0,0
218,Secondary,Paladin,Onyx Maple Rosary,Rosary,100,8,8,0,0,0,0,0,0,5,0,0,0
219,Secondary,Paladin,Maple Treasure Rosary,Rosary,110,9,9,0,0,0,0,0,0,6,0,0,0
220,Secondary,Paladin,Princess No's Rosary,Rosary,140,14,14,0,0,0,0,0,0,9,0,0,0
221,Secondary,Adele,Embark Bladebinder,Bracelet,30,4,4,0,0,0,0,0,0,1,0,0,0
222,Secondary,Adele,Regular Bladebinder,Bracelet,60,6,6,0,0,0,0,0,0,2,0,0,0
223,Secondary,Adele,Noble Bladebinder,Bracelet,100,10,10,0,0,0,0,0,0,3,0,0,0
224,Secondary,Adele,Princess No's Immortal Bladebinder,Bracelet,140,14,14,0,0,0,0,0,0,9,0,0,0
225,Secondary,Heroes,Powers Medallion,Medallion,30,4,4,0,0,0,0,0,0,1,0,0,0
226,Secondary,Blaster,Rudimentary Charges,Charge,10,3,3,0,0,0,0,0,0,0,0,0,0
227,Secondary,Heroes,Orders Medallion,Medallion,60,6,6,0,0,0,0,0,0,2,0,0,0
228,Secondary,Heroes,Virtues Medallion,Medallion,100,10,10,0,0,0,0,0,0,3,0,0,0
229,Secondary,Heroes,Onyx Maple Medal,Medallion,100,8,8,0,0,0,0,0,0,5,0,0,0
230,Secondary,Heroes,Maple Treasure Medal,Medallion,110,9,9,0,0,0,0,0,0,6,0,0,0
231,Secondary,Heroes,Princess No's Medal,Medallion,140,14,14,0,0,0,0,0,0,9,0,0,0
232,Secondary,Kaiser,Nova's Essence,Dragon Essence,10,0,0,0,0,2,0,0,0,0,0,0,0
233,Secondary,Blaster,Standard Charges,Charge,30,4,4,0,0,0,0,0,0,1,0,0,0
234,Secondary,Blaster,High Powered Charges,Charge,60,6,6,0,0,0,0,0,0,2,0,0,0
235,Secondary,Blaster,Masterwork Charges,Charge,100,10,10,0,0,0,0,0,0,3,0,0,0
236,Secondary,Blaster,Onyx Maple Charges,Charge,100,8,8,0,0,0,0,0,0,5,0,0,0
237,Secondary,Blaster,Princess No's Megaton Charges,Charge,140,15,15,0,0,0,0,0,0,10,0,0,0
238,Secondary,Aran,Silver Beast Mass,Mass,30,4,4,0,0,0,0,0,0,1,0,0,0
239,Secondary,Kaiser,Nova Guardian Essence,Dragon Essence,30,0,0,0,0,4,0,0,10,0,0,0,0
240,Secondary,Kaiser,Nova Justice Essence,Dragon Essence,60,0,0,0,0,6,0,0,20,0,0,0,0
241,Secondary,Kaiser,Nova Truth Essence,Dragon Essence,100,0,0,0,0,10,0,0,30,0,0,0,0
242,Secondary,Kaiser,Nova Onyx Maple Essence,Dragon Essence,100,0,0,0,0,8,0,0,30,0,0,0,0
