,EquipGrp,EquipType,Stat,MinLvl,MaxLvl,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7
32,Weapons,Special,Attack Power,120,159,,,12,17.6,24.2,31.944,40.9948
33,Weapons,Special,Attack Power,160,199,,,15,22,30.25,39.93,51.2435
34,Weapons,Special,Attack Power,200,239,,,18,26.4,36.3,47.916,61.4922
35,Weapons,Special,Attack Power,240,275,,,21,30.8,42.35,55.902,71.7409
36,Non-weapons,Common,Magic Attack,60,300,1,2,3,4,5,6,7
37,Weapons,Normal,Magic Attack,0,39,1,2.2,3.63,5.324,7.3205,8.7846,10.2487
38,Weapons,Normal,Magic Attack,40,79,2,4.4,7.26,10.648,14.641,17.5692,20.4974
39,Weapons,Normal,Magic Attack,80,119,3,6.6,10.89,15.972,21.9615,26.3538,30.7461
40,Weapons,Normal,Magic Attack,120,159,4,8.8,14.52,21.296,29.282,35.1384,40.9948
41,Weapons,Normal,Magic Attack,160,199,5,11,18.15,26.62,36.6025,43.923,51.2435
42,Weapons,Normal,Magic Attack,200,239,6,13.2,21.78,31.944,43.923,52.7076,61.4922
43,Weapons,Normal,Magic Attack,240,275,7,15.4,25.41,37.268,51.2435,61.4922,71.7409
44,Weapons,Special,Magic Attack,0,39,,,3,4.4,6.05,7.986,10.2487
45,Weapons,Special,Magic Attack,40,79,,,6,8.8,12.1,15.972,20.4974
46,Weapons,Special,Magic Attack,80,119,,,9,13.2,18.15,23.958,30.7461
47,Weapons,Special,Magic Attack,120,159,,,12,17.6,24.2,31.944,40.9948
48,Weapons,Special,Magic Attack,160,199,,,15,22,30.25,39.93,51.2435
49,Weapons,Special,Magic Attack,200,239,,,18,26.4,36.3,47.916,61.4922
50,Weapons,Special,Magic Attack,240,275,,,21,30.8,42.35,55.902,71.7409
51,Common,Common,Defense,0,19,1,2,3,4,5,6,7
52,Common,Common,Defense,20,39,2,4,6,8,10,12,14
53,Common,Common,Defense,40,59,3,6,9,12,15,18,21
54,Common,Common,Defense,60,79,4,8,12,16,20,24,28
55,Common,Common,Defense,80,99,5,10,15,20,25,30,35
56,Common,Common,Defense,100,119,6,12,18,24,30,36,42
57,Common,Common,Defense,120,139,7,14,21,28,35,42,49
58,Common,Common,Defense,140,159,8,16,24,32,40,48,56
59,Common,Common,Defense,160,179,9,18,27,36,45,54,63
60,Common,Common,Defense,180,199,10,20,30,40,50,60,70
61,Common,Common,Defense,200,219,11,22,33,44,55,66,77
62,Common,Common,Defense,220,239,12,24,36,48,60,72,84
63,Common,Common,Defense,240,259,13,26,39,52,65,78,91
64,Common,Common,Defense,260,275,14,28,42,56,70,84,98
65,Common,Common,HP,0,9,3,6,9,12,15,18,21
66,Common,Common,HP,10,19,30,60,90,120,150,180,210
67,Common,Common,HP,20,29,60,120,180,240,300,360,420
68,Common,Common,HP,30,39,90,180,270,360,450,540,630
69,Common,Common,HP,40,49,120,240,360,480,600,720,840
70,Common,Common,HP,50,59,150,300,450,600,750,900,1050
71,Common,Common,HP,60,69,180,360,540,720,900,1080,1260
72,Common,Common,HP,70,79,210,420,630,840,1050,1260,1470
73,Common,Common,HP,80,89,240,480,720,960,1200,1440,1680
74,Common,Common,HP,90,99,270,540,810,1080,1350,1620,1890
75,Common,Common,HP,100,109,300,600,900,1200,1500,1800,2100
76,Common,Common,HP,110,119,330,660,990,1320,1650,1980,2310
77,Common,Common,HP,120,129,360,720,1080,1440,1800,2160,2520
78,Common,Common,HP,130,139,390,780,1170,1560,1950,2340,2730
79,Common,Common,HP,140,149,420,840,1260,1680,2100,2520,2940
80,Common,Common,HP,150,159,450,900,1350,1800,2250,2700,3150
81,Common,Common,HP,160,169,480,960,1440,1920,2400,2880,3360
82,Common,Common,HP,170,179,510,1020,1530,2040,2550,3060,3570
83,Common,Common,HP,180,189,540,1080,1620,2160,2700,3240,3780
84,Common,Common,HP,190,199,570,1140,1710,2280,2850,3420,3990
85,Common,Common,HP,200,209,600,1200,1800,2400,3000,3600,4200
86,Common,Common,HP,210,219,630,1260,1890,2520,3150,3780,4410
87,Common,Common,HP,220,229,660,1320,1980,2640,3300,3960,4620
88,Common,Common,HP,230,239,690,1380,2070,2760,3450,4140,4830
89,Common,Common,HP,240,249,720,1440,2160,2880,3600,4320,5040
90,Common,Common,HP,250,259,750,1500,2250,3000,3750,4500,5250
91,Common,Common,HP,260,269,780,1560,2340,3120,3900,4680,5460
92,Common,Common,HP,270,275,810,1620,2430,3240,4050,4860,5670
93,Common,Common,MP,0,9,3,6,9,12,15,18,21
94,Common,Common,MP,10,19,30,60,90,120,150,180,210
95,Common,Common,MP,20,29,60,120,180,240,300,360,420
96,Common,Common,MP,30,39,90,180,270,360,450,540,630
97,Common,Common,MP,40,49,120,240,360,480,600,720,840
98,Common,Common,MP,50,59,150,300,450,600,750,900,1050
99,Common,Common,MP,60,69,180,360,540,720,900,1080,1260
100,Common,Common,MP,70,79,210,420,630,840,1050,1260,1470
101,Common,Common,MP,80,89,240,480,720,960,1200,1440,1680
102,Common,Common,MP,90,99,270,540,810,1080,1350,1620,1890
103,Common,Common,MP,100,109,300,600,900,1200,1500,1800,2100
104,Common,Common,MP,110,119,330,660,990,1320,1650,1980,2310
105,Common,Common,MP,120,129,360,720,1080,1440,1800,2160,2520
106,Common,Common,MP,130,139,390,780,1170,1560,1950,2340,2730
107,Common,Common,MP,140,149,420,840,1260,1680,2100,2520,2940
108,Common,Common,MP,150,159,450,900,1350,1800,2250,2700,3150
109,Common,Common,MP,160,169,480,960,1440,1920,2400,2880,3360
110,Common,Common,MP,170,179,510,1020,1530,2040,2550,3060,3570
111,Common,Common,MP,180,189,540,1080,1620,2160,2700,3240,3780
112,Common,Common,MP,190,199,570,1140,1710,2280,2850,3420,3990
113,Common,Common,MP,200,209,600,1200,1800,2400,3000,3600,4200
114,Common,Common,MP,210,219,630,1260,1890,2520,3150,3780,4410
115,Common,Common,MP,220,229,660,1320,1980,2640,3300,3960,4620
116,Common,Common,MP,230,239,690,1380,2070,2760,3450,4140,4830
117,Common,Common,MP,240,249,720,1440,2160,2880,3600,4320,5040
118,Common,Common,MP,250,259,750,1500,2250,3000,3750,4500,5250
119,Common,Common,MP,260,269,780,1560,2340,3120,3900,4680,5460
120,Common,Common,MP,270,275,810,1620,2430,3240,4050,4860,5670
121,Non-Weapons,Common,Speed,0,300,1,2,3,4,5,6,7
122,Non-Weapons,Common,Jump,0,300,1,2,3,4,5,6,7
123,Common,Common,All Stats,70,300,1,2,3,4,5,6,7
124,Weapons,Common,Damage to Boss Monsters,90,300,2,4,6,8,10,12,14
125,Weapons,Common,Damage,90,300,1,2,3,4,5,6,7
126,Common,Common,Equip level requirement reduction,1,300,-5,-10,-15,-20,-25,-30,-35
