,Slot,Grade,Prime,DisplayStat,StatT,MinLvl,MaxLvl,Stat value,Chance
32,Hat,Rare,Non prime,Speed Increase,Flat,71,110,3,0
33,Hat,Rare,Non prime,Speed Increase,Flat,111,300,4,0
34,Hat,Rare,Non prime,Jump Increase,Flat,0,30,1,0
35,Hat,Rare,Non prime,Jump Increase,Flat,31,70,2,0
36,Hat,Rare,Non prime,Jump Increase,Flat,71,110,3,0
37,Hat,Rare,Non prime,Jump Increase,Flat,111,300,4,0
38,Hat,Rare,Non prime,MaxHP Increase,Flat,0,10,5,0
39,Hat,Rare,Non prime,MaxHP Increase,Flat,11,20,10,0
40,Hat,Rare,Non prime,MaxHP Increase,Flat,21,30,15,0
41,Hat,Rare,Non prime,MaxHP Increase,Flat,31,40,20,0
42,Hat,Rare,Non prime,MaxHP Increase,Flat,41,50,25,0
43,Hat,Rare,Non prime,MaxHP Increase,Flat,51,60,30,0
44,Hat,Rare,Non prime,MaxHP Increase,Flat,61,70,35,0
45,Hat,Rare,Non prime,MaxHP Increase,Flat,71,80,40,0
46,Hat,Rare,Non prime,MaxHP Increase,Flat,81,90,45,0
47,Hat,Rare,Non prime,MaxHP Increase,Flat,91,100,50,0
48,Hat,Rare,Non prime,MaxHP Increase,Flat,101,110,55,0
49,Hat,Rare,Non prime,MaxHP Increase,Flat,111,300,60,0
50,Hat,Rare,Non prime,MaxMP Increase,Flat,0,10,5,0
51,Hat,Rare,Non prime,MaxMP Increase,Flat,11,20,10,0
52,Hat,Rare,Non prime,MaxMP Increase,Flat,21,30,15,0
53,Hat,Rare,Non prime,MaxMP Increase,Flat,31,40,20,0
54,Hat,Rare,Non prime,MaxMP Increase,Flat,41,50,25,0
55,Hat,Rare,Non prime,MaxMP Increase,Flat,51,60,30,0
56,Hat,Rare,Non prime,MaxMP Increase,Flat,61,70,35,0
57,Hat,Rare,Non prime,MaxMP Increase,Flat,71,80,40,0
58,Hat,Rare,Non prime,MaxMP Increase,Flat,81,90,45,0
59,Hat,Rare,Non prime,MaxMP Increase,Flat,91,100,50,0
60,Hat,Rare,Non prime,MaxMP Increase,Flat,101,110,55,0
61,Hat,Rare,Non prime,MaxMP Increase,Flat,111,300,60,0
62,Hat,Rare,Non prime,DEF Increase,Flat,0,10,5,0
63,Hat,Rare,Non prime,DEF Increase,Flat,11,20,10,0
64,Hat,Rare,Non prime,DEF Increase,Flat,21,30,15,0
65,Hat,Rare,Non prime,DEF Increase,Flat,31,40,20,0
66,Hat,Rare,Non prime,DEF Increase,Flat,41,50,25,0
67,Hat,Rare,Non prime,DEF Increase,Flat,51,60,30,0
68,Hat,Rare,Non prime,DEF Increase,Flat,61,70,35,0
69,Hat,Rare,Non prime,DEF Increase,Flat,71,80,40,0
70,Hat,Rare,Non prime,DEF Increase,Flat,81,90,45,0
71,Hat,Rare,Non prime,DEF Increase,Flat,91,100,50,0
72,Hat,Rare,Non prime,DEF Increase,Flat,101,110,55,0
73,Hat,Rare,Non prime,DEF Increase,Flat,111,300,60,0
74,Hat,Rare,Prime,STR Increase,Flat,0,20,2,0
75,Hat,Rare,Prime,STR Increase,Flat,21,50,4,0
76,Hat,Rare,Prime,STR Increase,Flat,51,70,6,0
77,Hat,Rare,Prime,STR Increase,Flat,71,90,8,0
78,Hat,Rare,Prime,STR Increase,Flat,91,300,10,0
79,Hat,Rare,Prime,DEX Increase,Flat,0,20,2,0
80,Hat,Rare,Prime,DEX Increase,Flat,21,50,4,0
81,Hat,Rare,Prime,DEX Increase,Flat,51,70,6,0
82,Hat,Rare,Prime,DEX Increase,Flat,71,90,8,0
83,Hat,Rare,Prime,DEX Increase,Flat,91,300,10,0
84,Hat,Rare,Prime,INT Increase,Flat,0,20,2,0
85,Hat,Rare,Prime,INT Increase,Flat,21,50,4,0
86,Hat,Rare,Prime,INT Increase,Flat,51,70,6,0
87,Hat,Rare,Prime,INT Increase,Flat,71,90,8,0
88,Hat,Rare,Prime,INT Increase,Flat,91,300,10,0
89,Hat,Rare,Prime,LUK Increase,Flat,0,20,2,0
90,Hat,Rare,Prime,LUK Increase,Flat,21,50,4,0
91,Hat,Rare,Prime,LUK Increase,Flat,51,70,6,0
92,Hat,Rare,Prime,LUK Increase,Flat,71,90,8,0
93,Hat,Rare,Prime,LUK Increase,Flat,91,300,10,0
94,Hat,Rare,Prime,Weapon ATT Increase,Flat,0,20,1,0
95,Hat,Rare,Prime,Weapon ATT Increase,Flat,21,40,2,0
96,Hat,Rare,Prime,Weapon ATT Increase,Flat,41,60,4,0
97,Hat,Rare,Prime,Weapon ATT Increase,Flat,61,80,6,0
98,Hat,Rare,Prime,Weapon ATT Increase,Flat,81,90,8,0
99,Hat,Rare,Prime,Weapon ATT Increase,Flat,91,300,10,0
100,Hat,Rare,Prime,Magic ATT Increase,Flat,0,20,1,0
101,Hat,Rare,Prime,Magic ATT Increase,Flat,21,40,2,0
102,Hat,Rare,Prime,Magic ATT Increase,Flat,41,60,4,0
103,Hat,Rare,Prime,Magic ATT Increase,Flat,61,80,6,0
104,Hat,Rare,Prime,Magic ATT Increase,Flat,81,90,8,0
105,Hat,Rare,Prime,Magic ATT Increase,Flat,91,300,10,0
106,Hat,Rare,Prime,MaxHP Increase,Flat,0,20,10,0
107,Hat,Rare,Prime,MaxHP Increase,Flat,21,50,15,0
108,Hat,Rare,Prime,MaxHP Increase,Flat,51,90,50,0
109,Hat,Rare,Prime,MaxHP Increase,Flat,91,300,100,0
110,Hat,Rare,Prime,MaxMP Increase,Flat,0,20,10,0
111,Hat,Rare,Prime,MaxMP Increase,Flat,21,50,15,0
112,Hat,Rare,Prime,MaxMP Increase,Flat,51,90,50,0
113,Hat,Rare,Prime,MaxMP Increase,Flat,91,300,100,0
114,Hat,Rare,Prime,DEF Increase,Flat,0,20,10,0
115,Hat,Rare,Prime,DEF Increase,Flat,21,50,15,0
116,Hat,Rare,Prime,DEF Increase,Flat,51,90,50,0
117,Hat,Rare,Prime,DEF Increase,Flat,91,300,100,0
118,Hat,Rare,Prime,Speed Increase,Flat,0,20,2,0
119,Hat,Rare,Prime,Speed Increase,Flat,21,50,3,0
120,Hat,Rare,Prime,Speed Increase,Flat,51,80,4,0
121,Hat,Rare,Prime,Speed Increase,Flat,81,110,5,0
122,Hat,Rare,Prime,Speed Increase,Flat,111,300,6,0
123,Hat,Rare,Prime,Jump Increase,Flat,0,20,2,0
124,Hat,Rare,Prime,Jump Increase,Flat,21,50,3,0
125,Hat,Rare,Prime,Jump Increase,Flat,51,80,4,0
126,Hat,Rare,Prime,Jump Increase,Flat,81,110,5,0
127,Hat,Rare,Prime,Jump Increase,Flat,111,300,6,0
128,Hat,Rare,Prime,STR% Increase,Perc,0,90,1,0
129,Hat,Rare,Prime,STR% Increase,Perc,91,300,2,0
130,Hat,Rare,Prime,DEX% Increase,Perc,0,90,1,0
131,Hat,Rare,Prime,DEX% Increase,Perc,91,300,2,0
132,Hat,Rare,Prime,INT% Increase,Perc,0,90,1,0
133,Hat,Rare,Prime,INT% Increase,Perc,91,300,2,0
134,Hat,Rare,Prime,LUK% Increase,Perc,0,90,1,0
135,Hat,Rare,Prime,LUK% Increase,Perc,91,300,2,0
136,Hat,Rare,Prime,DEF% Increase,Perc,0,90,1,0
137,Hat,Rare,Prime,DEF% Increase,Perc,91,300,2,0
138,Hat,Rare,Prime,MaxHP% Increase,Perc,0,90,1,0
139,Hat,Rare,Prime,MaxHP% Increase,Perc,91,300,2,0
140,Hat,Rare,Prime,MaxMP% Increase,Perc,0,90,1,0
141,Hat,Rare,Prime,MaxMP% Increase,Perc,91,300,2,0
142,Hat,Rare,Prime,All Stats Increase,Flat,0,50,1,0
143,Hat,Rare,Prime,All Stats Increase,Flat,51,90,2,0
144,Hat,Rare,Prime,All Stats Increase,Flat,91,300,3,0
145,Hat,Epic,Prime,STR Increase,Flat,0,20,4,0
146,Hat,Epic,Prime,STR Increase,Flat,21,40,6,0
147,Hat,Epic,Prime,STR Increase,Flat,41,50,8,0
148,Hat,Epic,Prime,STR Increase,Flat,51,70,10,0
149,Hat,Epic,Prime,STR Increase,Flat,71,90,12,0
150,Hat,Epic,Prime,STR Increase,Flat,91,300,14,0
151,Hat,Epic,Prime,DEX Increase,Flat,0,20,4,0
152,Hat,Epic,Prime,DEX Increase,Flat,21,40,6,0
153,Hat,Epic,Prime,DEX Increase,Flat,41,50,8,0
154,Hat,Epic,Prime,DEX Increase,Flat,51,70,10,0
155,Hat,Epic,Prime,DEX Increase,Flat,71,90,12,0
156,Hat,Epic,Prime,DEX Increase,Flat,91,300,14,0
157,Hat,Epic,Prime,INT Increase,Flat,0,20,4,0
158,Hat,Epic,Prime,INT Increase,Flat,21,40,6,0
159,Hat,Epic,Prime,INT Increase,Flat,41,50,8,0
160,Hat,Epic,Prime,INT Increase,Flat,51,70,10,0
161,Hat,Epic,Prime,INT Increase,Flat,71,90,12,0
162,Hat,Epic,Prime,INT Increase,Flat,91,300,14,0
163,Hat,Epic,Prime,LUK Increase,Flat,0,20,4,0
164,Hat,Epic,Prime,LUK Increase,Flat,21,40,6,0
165,Hat,Epic,Prime,LUK Increase,Flat,41,50,8,0
166,Hat,Epic,Prime,LUK Increase,Flat,51,70,10,0
167,Hat,Epic,Prime,LUK Increase,Flat,71,90,12,0
168,Hat,Epic,Prime,LUK Increase,Flat,91,300,14,0
169,Hat,Epic,Prime,Weapon ATT Increase,Flat,0,20,4,0
170,Hat,Epic,Prime,Weapon ATT Increase,Flat,21,50,6,0
171,Hat,Epic,Prime,Weapon ATT Increase,Flat,51,90,8,0
172,Hat,Epic,Prime,Weapon ATT Increase,Flat,91,300,11,0
173,Hat,Epic,Prime,Magic ATT Increase,Flat,0,20,4,0
174,Hat,Epic,Prime,Magic ATT Increase,Flat,21,50,6,0
175,Hat,Epic,Prime,Magic ATT Increase,Flat,51,90,8,0
176,Hat,Epic,Prime,Magic ATT Increase,Flat,91,300,11,0
177,Hat,Epic,Prime,MaxHP Increase,Flat,0,10,15,0
178,Hat,Epic,Prime,MaxHP Increase,Flat,11,20,30,0
179,Hat,Epic,Prime,MaxHP Increase,Flat,21,30,45,0
180,Hat,Epic,Prime,MaxHP Increase,Flat,31,40,60,0
181,Hat,Epic,Prime,MaxHP Increase,Flat,41,50,75,0
182,Hat,Epic,Prime,MaxHP Increase,Flat,51,60,90,0
183,Hat,Epic,Prime,MaxHP Increase,Flat,61,70,105,0
184,Hat,Epic,Prime,MaxHP Increase,Flat,71,80,120,0
185,Hat,Epic,Prime,MaxHP Increase,Flat,81,90,135,0
186,Hat,Epic,Prime,MaxHP Increase,Flat,91,100,150,0
187,Hat,Epic,Prime,MaxHP Increase,Flat,101,110,165,0
188,Hat,Epic,Prime,MaxHP Increase,Flat,111,300,180,0
189,Hat,Epic,Prime,MaxMP Increase,Flat,0,10,15,0
190,Hat,Epic,Prime,MaxMP Increase,Flat,11,20,30,0
191,Hat,Epic,Prime,MaxMP Increase,Flat,21,30,45,0
192,Hat,Epic,Prime,MaxMP Increase,Flat,31,40,60,0
193,Hat,Epic,Prime,MaxMP Increase,Flat,41,50,75,0
194,Hat,Epic,Prime,MaxMP Increase,Flat,51,60,90,0
195,Hat,Epic,Prime,MaxMP Increase,Flat,61,70,105,0
196,Hat,Epic,Prime,MaxMP Increase,Flat,71,80,120,0
197,Hat,Epic,Prime,MaxMP Increase,Flat,81,90,135,0
198,Hat,Epic,Prime,MaxMP Increase,Flat,91,100,150,0
199,Hat,Epic,Prime,MaxMP Increase,Flat,101,110,165,0
200,Hat,Epic,Prime,MaxMP Increase,Flat,111,300,180,0
201,Hat,Epic,Prime,DEF Increase,Flat,0,20,15,0
202,Hat,Epic,Prime,DEF Increase,Flat,21,50,20,0
203,Hat,Epic,Prime,DEF Increase,Flat,51,90,60,0
204,Hat,Epic,Prime,DEF Increase,Flat,91,300,120,0
205,Hat,Epic,Prime,Speed Increase,Flat,0,30,4,0
206,Hat,Epic,Prime,Speed Increase,Flat,31,110,6,0
207,Hat,Epic,Prime,Speed Increase,Flat,111,300,8,0
208,Hat,Epic,Prime,Jump Increase,Flat,0,30,4,0
209,Hat,Epic,Prime,Jump Increase,Flat,31,110,6,0
210,Hat,Epic,Prime,Jump Increase,Flat,111,300,8,0
211,Hat,Epic,Prime,STR% Increase,Perc,0,20,1,0
212,Hat,Epic,Prime,STR% Increase,Perc,21,50,2,0
213,Hat,Epic,Prime,STR% Increase,Perc,51,90,3,0
214,Hat,Epic,Prime,STR% Increase,Perc,91,300,4,0
215,Hat,Epic,Prime,DEX% Increase,Perc,0,20,1,0
216,Hat,Epic,Prime,DEX% Increase,Perc,21,50,2,0
217,Hat,Epic,Prime,DEX% Increase,Perc,51,90,3,0
218,Hat,Epic,Prime,DEX% Increase,Perc,91,300,4,0
219,Hat,Epic,Prime,INT% Increase,Perc,0,20,1,0
220,Hat,Epic,Prime,INT% Increase,Perc,21,50,2,0
221,Hat,Epic,Prime,INT% Increase,Perc,51,90,3,0
222,Hat,Epic,Prime,INT% Increase,Perc,91,300,4,0
223,Hat,Epic,Prime,LUK% Increase,Perc,0,20,1,0
224,Hat,Epic,Prime,LUK% Increase,Perc,21,50,2,0
225,Hat,Epic,Prime,LUK% Increase,Perc,51,90,3,0
226,Hat,Epic,Prime,LUK% Increase,Perc,91,300,4,0
227,Hat,Epic,Prime,MaxHP% Increase,Perc,0,20,1,0
228,Hat,Epic,Prime,MaxHP% Increase,Perc,21,50,2,0
229,Hat,Epic,Prime,MaxHP% Increase,Perc,51,90,3,0
230,Hat,Epic,Prime,MaxHP% Increase,Perc,91,300,5,0
231,Hat,Epic,Prime,MaxMP% Increase,Perc,0,20,1,0
232,Hat,Epic,Prime,MaxMP% Increase,Perc,21,50,2,0
233,Hat,Epic,Prime,MaxMP% Increase,Perc,51,90,3,0
234,Hat,Epic,Prime,MaxMP% Increase,Perc,91,300,5,0
235,Hat,Epic,Prime,DEF% Increase,Perc,0,30,1,0
236,Hat,Epic,Prime,DEF% Increase,Perc,31,70,2,0
237,Hat,Epic,Prime,DEF% Increase,Perc,71,300,4,0
238,Hat,Epic,Prime,All Stats% Increase,Perc,0,90,1,0
239,Hat,Epic,Prime,All Stats% Increase,Perc,91,300,2,0
240,Hat,Unique,Prime,STR Increase,Flat,0,20,8,0
241,Hat,Unique,Prime,STR Increase,Flat,21,50,10,0
242,Hat,Unique,Prime,STR Increase,Flat,51,70,12,0
243,Hat,Unique,Prime,STR Increase,Flat,71,90,14,0
244,Hat,Unique,Prime,STR Increase,Flat,91,300,16,0
245,Hat,Unique,Prime,DEX Increase,Flat,0,20,8,0
246,Hat,Unique,Prime,DEX Increase,Flat,21,50,10,0
247,Hat,Unique,Prime,DEX Increase,Flat,51,70,12,0
248,Hat,Unique,Prime,DEX Increase,Flat,71,90,14,0
249,Hat,Unique,Prime,DEX Increase,Flat,91,300,16,0
250,Hat,Unique,Prime,INT Increase,Flat,0,20,8,0
251,Hat,Unique,Prime,INT Increase,Flat,21,50,10,0
252,Hat,Unique,Prime,INT Increase,Flat,51,70,12,0
253,Hat,Unique,Prime,INT Increase,Flat,71,90,14,0
254,Hat,Unique,Prime,INT Increase,Flat,91,300,16,0
255,Hat,Unique,Prime,LUK Increase,Flat,0,20,8,0
256,Hat,Unique,Prime,LUK Increase,Flat,21,50,10,0
257,Hat,Unique,Prime,LUK Increase,Flat,51,70,12,0
258,Hat,Unique,Prime,LUK Increase,Flat,71,90,14,0
259,Hat,Unique,Prime,LUK Increase,Flat,91,300,16,0
260,Hat,Unique,Prime,Weapon ATT Increase,Flat,0,20,6,0
261,Hat,Unique,Prime,Weapon ATT Increase,Flat,21,50,8,0
262,Hat,Unique,Prime,Weapon ATT Increase,Flat,51,90,10,0
263,Hat,Unique,Prime,Weapon ATT Increase,Flat,91,300,12,0
264,Hat,Unique,Prime,Magic ATT Increase,Flat,0,20,6,0
265,Hat,Unique,Prime,Magic ATT Increase,Flat,21,50,8,0
266,Hat,Unique,Prime,Magic ATT Increase,Flat,51,90,10,0
267,Hat,Unique,Prime,Magic ATT Increase,Flat,91,300,12,0
268,Hat,Unique,Prime,DEF Increase,Flat,0,20,15,0
269,Hat,Unique,Prime,DEF Increase,Flat,21,50,30,0
270,Hat,Unique,Prime,DEF Increase,Flat,51,90,80,0
271,Hat,Unique,Prime,DEF Increase,Flat,91,300,150,0
272,Hat,Unique,Prime,MaxHP Increase,Flat,0,10,20,0
273,Hat,Unique,Prime,MaxHP Increase,Flat,11,20,40,0
274,Hat,Unique,Prime,MaxHP Increase,Flat,21,30,60,0
275,Hat,Unique,Prime,MaxHP Increase,Flat,31,40,80,0
276,Hat,Unique,Prime,MaxHP Increase,Flat,41,50,100,0
277,Hat,Unique,Prime,MaxHP Increase,Flat,51,60,120,0
278,Hat,Unique,Prime,MaxHP Increase,Flat,61,70,140,0
279,Hat,Unique,Prime,MaxHP Increase,Flat,71,80,160,0
280,Hat,Unique,Prime,MaxHP Increase,Flat,81,90,180,0
281,Hat,Unique,Prime,MaxHP Increase,Flat,91,100,200,0
282,Hat,Unique,Prime,MaxHP Increase,Flat,101,110,220,0
283,Hat,Unique,Prime,MaxHP Increase,Flat,111,300,240,0
284,Hat,Unique,Prime,MaxMP Increase,Flat,0,10,20,0
285,Hat,Unique,Prime,MaxMP Increase,Flat,11,20,40,0
286,Hat,Unique,Prime,MaxMP Increase,Flat,21,30,60,0
287,Hat,Unique,Prime,MaxMP Increase,Flat,31,40,80,0
288,Hat,Unique,Prime,MaxMP Increase,Flat,41,50,100,0
289,Hat,Unique,Prime,MaxMP Increase,Flat,51,60,120,0
290,Hat,Unique,Prime,MaxMP Increase,Flat,61,70,140,0
291,Hat,Unique,Prime,MaxMP Increase,Flat,71,80,160,0
292,Hat,Unique,Prime,MaxMP Increase,Flat,81,90,180,0
293,Hat,Unique,Prime,MaxMP Increase,Flat,91,100,200,0
294,Hat,Unique,Prime,MaxMP Increase,Flat,101,110,220,0
295,Hat,Unique,Prime,MaxMP Increase,Flat,111,300,240,0
296,Hat,Unique,Prime,STR% Increase,Perc,0,20,2,0
297,Hat,Unique,Prime,STR% Increase,Perc,21,50,3,0
298,Hat,Unique,Prime,STR% Increase,Perc,51,90,4,0
299,Hat,Unique,Prime,STR% Increase,Perc,91,300,5,0
300,Hat,Unique,Prime,DEX% Increase,Perc,0,20,2,0
301,Hat,Unique,Prime,DEX% Increase,Perc,21,50,3,0
302,Hat,Unique,Prime,DEX% Increase,Perc,51,90,4,0
303,Hat,Unique,Prime,DEX% Increase,Perc,91,300,5,0
304,Hat,Unique,Prime,INT% Increase,Perc,0,20,2,0
305,Hat,Unique,Prime,INT% Increase,Perc,21,50,3,0
306,Hat,Unique,Prime,INT% Increase,Perc,51,90,4,0
307,Hat,Unique,Prime,INT% Increase,Perc,91,300,5,0
308,Hat,Unique,Prime,LUK% Increase,Perc,0,20,2,0
309,Hat,Unique,Prime,LUK% Increase,Perc,21,50,3,0
310,Hat,Unique,Prime,LUK% Increase,Perc,51,90,4,0
311,Hat,Unique,Prime,LUK% Increase,Perc,91,300,5,0
312,Hat,Unique,Prime,MaxHP% Increase,Perc,0,20,2,0
313,Hat,Unique,Prime,MaxHP% Increase,Perc,21,50,3,0
314,Hat,Unique,Prime,MaxHP% Increase,Perc,51,90,5,0
315,Hat,Unique,Prime,MaxHP% Increase,Perc,91,300,7,0
316,Hat,Unique,Prime,MaxMP% Increase,Perc,0,20,2,0
317,Hat,Unique,Prime,MaxMP% Increase,Perc,21,50,3,0
318,Hat,Unique,Prime,MaxMP% Increase,Perc,51,90,5,0
319,Hat,Unique,Prime,MaxMP% Increase,Perc,91,300,7,0
320,Hat,Unique,Prime,DEF% Increase,Perc,0,20,2,0
321,Hat,Unique,Prime,DEF% Increase,Perc,21,50,3,0
322,Hat,Unique,Prime,DEF% Increase,Perc,51,90,5,0
323,Hat,Unique,Prime,DEF% Increase,Perc,91,300,7,0
324,Hat,Unique,Prime,All Stats% Increase,Perc,0,20,1,0
325,Hat,Unique,Prime,All Stats% Increase,Perc,21,50,2,0
326,Hat,Unique,Prime,All Stats% Increase,Perc,51,90,3,0
327,Hat,Unique,Prime,All Stats% Increase,Perc,91,300,4,0
328,Hat,Unique,Prime,Skills and Potion HP Recovery Increase,Perc,0,20,5,0
329,Hat,Unique,Prime,Skills and Potion HP Recovery Increase,Perc,21,50,10,0
330,Hat,Unique,Prime,Skills and Potion HP Recovery Increase,Perc,51,90,15,0
331,Hat,Unique,Prime,Skills and Potion HP Recovery Increase,Perc,91,300,20,0
332,Hat,Unique,Prime,STR +1 per 10 Character Levels,Flat,30,300,0,0
333,Hat,Unique,Prime,DEX +1 per 10 Character Levels,Flat,30,300,0,0
334,Hat,Unique,Prime,INT +1 per 10 Character Levels,Flat,30,300,0,0
335,Hat,Unique,Prime,LUK +1 per 10 Character Levels,Flat,30,300,0,0
336,Hat,Legendary,Prime,STR Increase,Flat,0,20,8,0
337,Hat,Legendary,Prime,STR Increase,Flat,21,40,10,0
338,Hat,Legendary,Prime,STR Increase,Flat,41,50,12,0
339,Hat,Legendary,Prime,STR Increase,Flat,51,70,14,0
340,Hat,Legendary,Prime,STR Increase,Flat,71,90,16,0
341,Hat,Legendary,Prime,STR Increase,Flat,91,300,18,0
342,Hat,Legendary,Prime,DEX Increase,Flat,0,20,8,0
343,Hat,Legendary,Prime,DEX Increase,Flat,21,40,10,0
344,Hat,Legendary,Prime,DEX Increase,Flat,41,50,12,0
345,Hat,Legendary,Prime,DEX Increase,Flat,51,70,14,0
346,Hat,Legendary,Prime,DEX Increase,Flat,71,90,16,0
347,Hat,Legendary,Prime,DEX Increase,Flat,91,300,18,0
348,Hat,Legendary,Prime,INT Increase,Flat,0,20,8,0
349,Hat,Legendary,Prime,INT Increase,Flat,21,40,10,0
350,Hat,Legendary,Prime,INT Increase,Flat,41,50,12,0
351,Hat,Legendary,Prime,INT Increase,Flat,51,70,14,0
352,Hat,Legendary,Prime,INT Increase,Flat,71,90,16,0
353,Hat,Legendary,Prime,INT Increase,Flat,91,300,18,0
354,Hat,Legendary,Prime,LUK Increase,Flat,0,20,8,0
355,Hat,Legendary,Prime,LUK Increase,Flat,21,40,10,0
356,Hat,Legendary,Prime,LUK Increase,Flat,41,50,12,0
357,Hat,Legendary,Prime,LUK Increase,Flat,51,70,14,0
358,Hat,Legendary,Prime,LUK Increase,Flat,71,90,16,0
359,Hat,Legendary,Prime,LUK Increase,Flat,91,300,18,0
360,Hat,Legendary,Prime,Weapon ATT Increase,Flat,0,20,8,0
361,Hat,Legendary,Prime,Weapon ATT Increase,Flat,21,50,10,0
362,Hat,Legendary,Prime,Weapon ATT Increase,Flat,51,90,12,0
363,Hat,Legendary,Prime,Weapon ATT Increase,Flat,91,300,14,0
364,Hat,Legendary,Prime,Magic ATT Increase,Flat,0,20,8,0
365,Hat,Legendary,Prime,Magic ATT Increase,Flat,21,50,10,0
366,Hat,Legendary,Prime,Magic ATT Increase,Flat,51,90,12,0
367,Hat,Legendary,Prime,Magic ATT Increase,Flat,91,300,14,0
368,Hat,Legendary,Prime,DEF Increase,Flat,0,20,20,0
369,Hat,Legendary,Prime,DEF Increase,Flat,21,50,50,0
370,Hat,Legendary,Prime,DEF Increase,Flat,51,90,100,0
371,Hat,Legendary,Prime,DEF Increase,Flat,91,300,200,0
372,Hat,Legendary,Prime,MaxHP Increase,Flat,0,10,25,0
373,Hat,Legendary,Prime,MaxHP Increase,Flat,11,20,50,0
374,Hat,Legendary,Prime,MaxHP Increase,Flat,21,30,75,0
375,Hat,Legendary,Prime,MaxHP Increase,Flat,31,40,100,0
376,Hat,Legendary,Prime,MaxHP Increase,Flat,41,50,125,0
377,Hat,Legendary,Prime,MaxHP Increase,Flat,51,60,150,0
378,Hat,Legendary,Prime,MaxHP Increase,Flat,61,70,175,0
379,Hat,Legendary,Prime,MaxHP Increase,Flat,71,80,200,0
380,Hat,Legendary,Prime,MaxHP Increase,Flat,81,90,225,0
381,Hat,Legendary,Prime,MaxHP Increase,Flat,91,100,250,0
382,Hat,Legendary,Prime,MaxHP Increase,Flat,101,110,275,0
383,Hat,Legendary,Prime,MaxHP Increase,Flat,11,300,300,0
384,Hat,Legendary,Prime,MaxMP Increase,Flat,0,10,25,0
385,Hat,Legendary,Prime,MaxMP Increase,Flat,11,20,50,0
386,Hat,Legendary,Prime,MaxMP Increase,Flat,21,30,75,0
387,Hat,Legendary,Prime,MaxMP Increase,Flat,31,40,100,0
388,Hat,Legendary,Prime,MaxMP Increase,Flat,41,50,125,0
389,Hat,Legendary,Prime,MaxMP Increase,Flat,51,60,150,0
390,Hat,Legendary,Prime,MaxMP Increase,Flat,61,70,175,0
391,Hat,Legendary,Prime,MaxMP Increase,Flat,71,80,200,0
392,Hat,Legendary,Prime,MaxMP Increase,Flat,81,90,225,0
393,Hat,Legendary,Prime,MaxMP Increase,Flat,91,100,250,0
394,Hat,Legendary,Prime,MaxMP Increase,Flat,101,110,275,0
395,Hat,Legendary,Prime,MaxMP Increase,Flat,111,300,300,0
396,Hat,Legendary,Prime,STR% Increase,Perc,0,20,3,0
397,Hat,Legendary,Prime,STR% Increase,Perc,21,50,4,0
398,Hat,Legendary,Prime,STR% Increase,Perc,51,90,5,0
399,Hat,Legendary,Prime,STR% Increase,Perc,91,300,7,0
400,Hat,Legendary,Prime,DEX% Increase,Perc,0,20,3,0
401,Hat,Legendary,Prime,DEX% Increase,Perc,21,50,4,0
