,Slot,Grade,Prime,DisplayStat,MinLvl,MaxLvl,Probaility,1 in
41,Hat,Epic,Prime,STR% Increase,0,300,4%,25
42,Hat,Epic,Prime,DEX% Increase,0,300,4%,25
43,Hat,Epic,Prime,INT% Increase,0,300,4%,25
44,Hat,Epic,Prime,LUK% Increase,0,300,4%,25
45,Hat,Epic,Prime,MaxHP% Increase,0,300,6%,16.6666
46,Hat,Epic,Prime,MaxMP% Increase,0,300,6%,16.6666
47,Hat,Epic,Prime,DEF% Increase,0,300,6%,16.6666
48,Hat,Epic,Prime,All Stats% Increase,0,300,4%,25
49,Hat,Unique,Prime,STR Increase,60,300,5.4545%,18.3333
50,Hat,Unique,Prime,DEX Increase,60,300,5.4545%,18.3333
51,Hat,Unique,Prime,INT Increase,60,300,5.4545%,18.3333
52,Hat,Unique,Prime,LUK Increase,60,300,5.4545%,18.3333
53,Hat,Unique,Prime,Weapon ATT Increase,60,300,3.6363%,27.5
54,Hat,Unique,Prime,Magic ATT Increase,60,300,3.6363%,27.5
55,Hat,Unique,Prime,DEF Increase,60,300,5.4545%,18.3333
56,Hat,Unique,Prime,MaxHP Increase,60,300,5.4545%,18.3333
57,Hat,Unique,Prime,MaxMP Increase,60,300,5.4545%,18.3333
58,Hat,Unique,Prime,STR% Increase,60,300,3.6363%,27.5
59,Hat,Unique,Prime,DEX% Increase,60,300,3.6363%,27.5
60,Hat,Unique,Prime,INT% Increase,60,300,3.6363%,27.5
61,Hat,Unique,Prime,LUK% Increase,60,300,3.6363%,27.5
62,Hat,Unique,Prime,MaxHP% Increase,60,300,5.4545%,18.3333
63,Hat,Unique,Prime,MaxMP% Increase,60,300,5.4545%,18.3333
64,Hat,Unique,Prime,DEF% Increase,60,300,5.4545%,18.3333
65,Hat,Unique,Prime,All Stats% Increase,60,300,3.6363%,27.5
66,Hat,Unique,Prime,Skills and Potion HP Recovery Increase,60,300,5.4545%,18.3333
67,Hat,Unique,Prime,STR +1 per 10 Character Levels,60,300,3.6363%,27.5
68,Hat,Unique,Prime,DEX +1 per 10 Character Levels,60,300,3.6363%,27.5
69,Hat,Unique,Prime,INT +1 per 10 Character Levels,60,300,3.6363%,27.5
70,Hat,Unique,Prime,LUK +1 per 10 Character Levels,60,300,3.6363%,27.5
71,Hat,Legendary,Prime,STR Increase,100,300,4.5454%,22
72,Hat,Legendary,Prime,DEX Increase,100,300,4.5454%,22
73,Hat,Legendary,Prime,INT Increase,100,300,4.5454%,22
74,Hat,Legendary,Prime,LUK Increase,100,300,4.5454%,22
75,Hat,Legendary,Prime,Weapon ATT Increase,100,300,3.0303%,33
76,Hat,Legendary,Prime,Magic ATT Increase,100,300,3.0303%,33
77,Hat,Legendary,Prime,DEF Increase,100,300,4.5454%,22
78,Hat,Legendary,Prime,MaxHP Increase,100,300,4.5454%,22
79,Hat,Legendary,Prime,MaxMP Increase,100,300,4.5454%,22
80,Hat,Legendary,Prime,STR% Increase,100,300,3.0303%,33
81,Hat,Legendary,Prime,DEX% Increase,100,300,3.0303%,33
82,Hat,Legendary,Prime,INT% Increase,100,300,3.0303%,33
83,Hat,Legendary,Prime,LUK% Increase,100,300,3.0303%,33
84,Hat,Legendary,Prime,MaxHP% Increase,100,300,4.5454%,22
85,Hat,Legendary,Prime,MaxMP% Increase,100,300,4.5454%,22
86,Hat,Legendary,Prime,DEF% Increase,100,300,4.5454%,22
87,Hat,Legendary,Prime,Critical Damage% Increase,100,300,3.0303%,33
88,Hat,Legendary,Prime,All Stats% Increase,100,300,3.0303%,33
89,Hat,Legendary,Prime,STR +2 per 10 Character Levels,100,300,3.0303%,33
90,Hat,Legendary,Prime,DEX +2 per 10 Character Levels,100,300,3.0303%,33
91,Hat,Legendary,Prime,INT +2 per 10 Character Levels,100,300,3.0303%,33
92,Hat,Legendary,Prime,LUK +2 per 10 Character Levels,100,300,3.0303%,33
93,Hat,Legendary,Prime,Skill Cooldown -1 second,100,300,4.5454%,22
94,Hat,Legendary,Prime,Mesos Obtained% Increase,100,300,4.5454%,22
95,Hat,Legendary,Prime,Item Drop Rate% Increase,100,300,4.5454%,22
96,Hat,Legendary,Prime,Skills and Potion HP Recovery Increase,100,300,4.5454%,22
97,Top,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
98,Overall,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
99,Bottom,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
100,Shoes,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
101,Cape,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
102,Belt,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
103,Shoulderpad,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
104,Top,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
105,Overall,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
106,Bottom,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
107,Shoes,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
108,Cape,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
109,Belt,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
110,Shoulderpad,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
111,Top,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
112,Overall,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
113,Bottom,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
114,Shoes,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
115,Cape,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
116,Belt,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
117,Shoulderpad,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
118,Top,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
119,Overall,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
120,Bottom,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
121,Shoes,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
122,Cape,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
123,Belt,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
124,Shoulderpad,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
125,Top,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
126,Overall,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
127,Bottom,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
128,Shoes,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
129,Cape,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
130,Belt,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
131,Shoulderpad,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
132,Top,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
133,Overall,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
134,Bottom,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
135,Shoes,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
136,Cape,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
137,Belt,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
138,Shoulderpad,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
139,Top,Rare,Non prime,Speed Increase,0,300,11.1111%,9
140,Overall,Rare,Non prime,Speed Increase,0,300,11.1111%,9
141,Bottom,Rare,Non prime,Speed Increase,0,300,11.1111%,9
142,Shoes,Rare,Non prime,Speed Increase,0,300,11.1111%,9
143,Cape,Rare,Non prime,Speed Increase,0,300,11.1111%,9
144,Belt,Rare,Non prime,Speed Increase,0,300,11.1111%,9
145,Shoulderpad,Rare,Non prime,Speed Increase,0,300,11.1111%,9
146,Top,Rare,Non prime,Jump Increase,0,300,11.1111%,9
147,Overall,Rare,Non prime,Jump Increase,0,300,11.1111%,9
148,Bottom,Rare,Non prime,Jump Increase,0,300,11.1111%,9
149,Shoes,Rare,Non prime,Jump Increase,0,300,11.1111%,9
150,Cape,Rare,Non prime,Jump Increase,0,300,11.1111%,9
151,Belt,Rare,Non prime,Jump Increase,0,300,11.1111%,9
152,Shoulderpad,Rare,Non prime,Jump Increase,0,300,11.1111%,9
153,Top,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
154,Overall,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
155,Bottom,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
156,Shoes,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
157,Cape,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
158,Belt,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
159,Shoulderpad,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
160,Top,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
161,Overall,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
162,Bottom,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
163,Shoes,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
164,Cape,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
165,Belt,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
166,Shoulderpad,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
167,Top,Rare,Non prime,DEF Increase,0,300,11.1111%,9
168,Overall,Rare,Non prime,DEF Increase,0,300,11.1111%,9
169,Bottom,Rare,Non prime,DEF Increase,0,300,11.1111%,9
170,Shoes,Rare,Non prime,DEF Increase,0,300,11.1111%,9
171,Cape,Rare,Non prime,DEF Increase,0,300,11.1111%,9
172,Belt,Rare,Non prime,DEF Increase,0,300,11.1111%,9
173,Shoulderpad,Rare,Non prime,DEF Increase,0,300,11.1111%,9
174,Top,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
175,Overall,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
176,Bottom,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
177,Shoes,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
178,Cape,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
179,Belt,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
180,Shoulderpad,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
181,Top,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
182,Overall,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
183,Bottom,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
184,Shoes,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
185,Cape,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
186,Belt,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
187,Shoulderpad,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
188,Top,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
189,Overall,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
190,Bottom,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
191,Shoes,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
192,Cape,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
193,Belt,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
194,Shoulderpad,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
195,Top,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
196,Overall,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
197,Bottom,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
198,Shoes,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
199,Cape,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
200,Belt,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
201,Shoulderpad,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
202,Top,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
203,Overall,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
204,Bottom,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
205,Shoes,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
206,Cape,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
207,Belt,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
208,Shoulderpad,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
209,Top,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
210,Overall,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
211,Bottom,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
212,Shoes,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
213,Cape,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
214,Belt,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
215,Shoulderpad,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
216,Top,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
217,Overall,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
218,Bottom,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
219,Shoes,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
220,Cape,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
221,Belt,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
222,Shoulderpad,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
223,Top,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
224,Overall,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
225,Bottom,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
226,Shoes,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
227,Cape,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
228,Belt,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
229,Shoulderpad,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
230,Top,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
231,Overall,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
232,Bottom,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
233,Shoes,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
234,Cape,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
235,Belt,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
236,Shoulderpad,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
237,Top,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
238,Overall,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
239,Bottom,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
240,Shoes,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
241,Cape,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
242,Belt,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
243,Shoulderpad,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
244,Top,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
245,Overall,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
246,Bottom,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
247,Shoes,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
248,Cape,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
249,Belt,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
250,Shoulderpad,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
251,Top,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
252,Overall,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
253,Bottom,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
254,Shoes,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
255,Cape,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
256,Belt,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
257,Shoulderpad,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
258,Top,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
259,Overall,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
260,Bottom,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
261,Shoes,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
262,Cape,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
263,Belt,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
264,Shoulderpad,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
265,Top,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
266,Overall,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
267,Bottom,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
268,Shoes,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
269,Cape,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
270,Belt,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
271,Shoulderpad,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
272,Top,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
273,Overall,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
274,Bottom,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
275,Shoes,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
276,Cape,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
277,Belt,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
278,Shoulderpad,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
279,Top,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
280,Overall,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
281,Bottom,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
282,Shoes,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
283,Cape,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
284,Belt,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
285,Shoulderpad,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
286,Top,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
287,Overall,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
288,Bottom,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
289,Shoes,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
290,Cape,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
291,Belt,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
292,Shoulderpad,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
293,Top,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
294,Overall,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
295,Bottom,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
296,Shoes,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
297,Cape,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
298,Belt,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
299,Shoulderpad,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
300,Top,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
301,Overall,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
302,Bottom,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
303,Shoes,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
304,Cape,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
305,Belt,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
306,Shoulderpad,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
307,Top,Epic,Prime,STR Increase,0,300,6%,16.6666
308,Overall,Epic,Prime,STR Increase,0,300,6%,16.6666
309,Bottom,Epic,Prime,STR Increase,0,300,6%,16.6666
310,Shoes,Epic,Prime,STR Increase,0,300,6%,16.6666
311,Cape,Epic,Prime,STR Increase,0,300,6%,16.6666
312,Belt,Epic,Prime,STR Increase,0,300,6%,16.6666
313,Shoulderpad,Epic,Prime,STR Increase,0,300,6%,16.6666
314,Top,Epic,Prime,DEX Increase,0,300,6%,16.6666
315,Overall,Epic,Prime,DEX Increase,0,300,6%,16.6666
316,Bottom,Epic,Prime,DEX Increase,0,300,6%,16.6666
317,Shoes,Epic,Prime,DEX Increase,0,300,6%,16.6666
318,Cape,Epic,Prime,DEX Increase,0,300,6%,16.6666
319,Belt,Epic,Prime,DEX Increase,0,300,6%,16.6666
320,Shoulderpad,Epic,Prime,DEX Increase,0,300,6%,16.6666
321,Top,Epic,Prime,INT Increase,0,300,6%,16.6666
322,Overall,Epic,Prime,INT Increase,0,300,6%,16.6666
323,Bottom,Epic,Prime,INT Increase,0,300,6%,16.6666
324,Shoes,Epic,Prime,INT Increase,0,300,6%,16.6666
325,Cape,Epic,Prime,INT Increase,0,300,6%,16.6666
326,Belt,Epic,Prime,INT Increase,0,300,6%,16.6666
327,Shoulderpad,Epic,Prime,INT Increase,0,300,6%,16.6666
328,Top,Epic,Prime,LUK Increase,0,300,6%,16.6666
329,Overall,Epic,Prime,LUK Increase,0,300,6%,16.6666
330,Bottom,Epic,Prime,LUK Increase,0,300,6%,16.6666
331,Shoes,Epic,Prime,LUK Increase,0,300,6%,16.6666
332,Cape,Epic,Prime,LUK Increase,0,300,6%,16.6666
333,Belt,Epic,Prime,LUK Increase,0,300,6%,16.6666
334,Shoulderpad,Epic,Prime,LUK Increase,0,300,6%,16.6666
335,Top,Epic,Prime,Weapon ATT Increase,0,300,4%,25
336,Overall,Epic,Prime,Weapon ATT Increase,0,300,4%,25
337,Bottom,Epic,Prime,Weapon ATT Increase,0,300,4%,25
338,Shoes,Epic,Prime,Weapon ATT Increase,0,300,4%,25
339,Cape,Epic,Prime,Weapon ATT Increase,0,300,4%,25
340,Belt,Epic,Prime,Weapon ATT Increase,0,300,4%,25
341,Shoulderpad,Epic,Prime,Weapon ATT Increase,0,300,4%,25
342,Top,Epic,Prime,Magic ATT Increase,0,300,4%,25
343,Overall,Epic,Prime,Magic ATT Increase,0,300,4%,25
344,Bottom,Epic,Prime,Magic ATT Increase,0,300,4%,25
345,Shoes,Epic,Prime,Magic ATT Increase,0,300,4%,25
346,Cape,Epic,Prime,Magic ATT Increase,0,300,4%,25
347,Belt,Epic,Prime,Magic ATT Increase,0,300,4%,25
348,Shoulderpad,Epic,Prime,Magic ATT Increase,0,300,4%,25
349,Top,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
350,Overall,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
351,Bottom,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
352,Shoes,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
353,Cape,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
354,Belt,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
355,Shoulderpad,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
356,Top,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
357,Overall,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
358,Bottom,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
359,Shoes,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
360,Cape,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
361,Belt,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
362,Shoulderpad,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
363,Top,Epic,Prime,DEF Increase,0,300,6%,16.6666
364,Overall,Epic,Prime,DEF Increase,0,300,6%,16.6666
365,Bottom,Epic,Prime,DEF Increase,0,300,6%,16.6666
366,Shoes,Epic,Prime,DEF Increase,0,300,6%,16.6666
367,Cape,Epic,Prime,DEF Increase,0,300,6%,16.6666
368,Belt,Epic,Prime,DEF Increase,0,300,6%,16.6666
369,Shoulderpad,Epic,Prime,DEF Increase,0,300,6%,16.6666
370,Top,Epic,Prime,Speed Increase,0,300,6%,16.6666
371,Overall,Epic,Prime,Speed Increase,0,300,6%,16.6666
372,Bottom,Epic,Prime,Speed Increase,0,300,6%,16.6666
373,Shoes,Epic,Prime,Speed Increase,0,300,6%,16.6666
374,Cape,Epic,Prime,Speed Increase,0,300,6%,16.6666
375,Belt,Epic,Prime,Speed Increase,0,300,6%,16.6666
376,Shoulderpad,Epic,Prime,Speed Increase,0,300,6%,16.6666
377,Top,Epic,Prime,Jump Increase,0,300,6%,16.6666
378,Overall,Epic,Prime,Jump Increase,0,300,6%,16.6666
379,Bottom,Epic,Prime,Jump Increase,0,300,6%,16.6666
380,Shoes,Epic,Prime,Jump Increase,0,300,6%,16.6666
381,Cape,Epic,Prime,Jump Increase,0,300,6%,16.6666
382,Belt,Epic,Prime,Jump Increase,0,300,6%,16.6666
383,Shoulderpad,Epic,Prime,Jump Increase,0,300,6%,16.6666
